Attribute|Class|Title|Formula|Explanation|Reference
Eq 5-68|FieldEq|Field equation for Rosen’s theory|$\oblong_{\eta}g_{\mu\nu}-g^{\alpha\beta}\eta^{\gamma\delta}g_{\mu\alpha\mid\gamma}g_{\nu\beta\mid\delta}=-16\pi G(\frac{g}{\eta})^{\frac{1}{2}}(T_{\mu\nu}-\frac{1}{2}g{}_{\mu\nu}T)$||Will, 1993, p. 131
Eq 5-75|FieldEq|Field equation for Rastall’s theory|$\left[F(N)K^{\mu;\nu}\right]_{;\nu}-F'(N)K^{\mu}K^{\alpha;\beta}K_{\alpha;\beta}+(1+\eta^{\alpha\beta}K_{\alpha}K_{\beta})^{-\frac{1}{2}}(\Theta^{\mu\nu}-\frac{1}{2}g^{\mu\nu}\Theta)K_{\nu}=8\pi G(1+\eta^{\alpha\beta}K_{\alpha}K_{\beta})^{-\frac{1}{2}}(T^{\mu\nu}-\frac{1}{2}g^{\mu\nu}T)K_{\nu}$,<br>$\Theta^{\mu\nu}\equiv F(N)(K^{\mu;\alpha}K_{;\alpha}^{\nu}+K^{\alpha;}K_{\alpha}^{;\nu}-\frac{1}{2}g^{\mu\nu}K_{\alpha;\beta}K^{\alpha;\beta})+\left\{ F(N)\left[K^{\alpha}K^{\left(\mu;\nu\right)}-K^{\mu}K^{(\nu;\alpha)}-K^{\nu}K^{(\mu;\alpha)}\right]\right\} _{;\alpha}+F'(N)K^{\alpha;\beta}K_{\alpha;\beta}K^{\mu}K^{\nu}$||Will, 1993, p. 132
Eq 5-84|FieldEq|Field equation for BSLL bimetric theory|$\oblong_{\eta}B^{\mu\nu}=-(\frac{4\pi}{a})(g/\eta)^{\frac{1}{2}}T^{\alpha\beta}\left[\theta_{\alpha\beta}^{\mu\nu}-f(a+4f)^{-1}\Theta_{\alpha\beta}^{\gamma\delta}\eta^{\mu\nu}\eta_{\gamma\delta}\right]$,<br>where<br>$\theta_{\alpha\beta}^{\mu\nu}=\frac{\partial g_{\alpha\beta}}{\partial B_{\mu\nu}}$.||Will, 1993, p. 134
Eq 5-95|FieldEq|Field equation for stratified theories|$\oblong_{\eta}\phi+\left[f_{3}(\phi)+1\right]\phi_{00}+\frac{1}{2}f’_{3}(\phi)\phi_{,0}^{2}-\frac{1}{2}K_{2}B_{,ij}^{ij}=2\pi(-g)^{\frac{1}{2}}\left[T^{00}f’_{1}(\phi)-T^{ii}f'_{2}(\phi)\right]$,<br>$\oblong B^{ij}+(\frac{\kappa_{2}}{2\kappa_{1}})\phi^{,ij}=\left(\frac{2\pi}{\kappa_{1}}\right)\left(-g\right)^{\frac{1}{2}}T^{ij}$.||Will, 1993, p. 136
Eq 6|FieldEq|Field equation of metric  $f(R)$|$f'(R)R_{\mu\nu}-\frac{1}{2}f(R)g_{\mu\nu}-\left[\nabla_{\mu}\nabla_{\nu}-g_{\mu\nu}\nabla^{\mu}\nabla_{\mu}\right]f'(R)=\kappa T_{\mu\nu}$||
a, f, k|Function|Arbitrary parameters|$a$, $f$, $k$||Will, 1993, p. 117 Table 5.1, p. 133
e|Function|$e$: Arbitrary function|||Will, 1993, p. 117, 135, 
epsilon|Function|$\epsilon$: Arbitrary parameter|||Will, 1993, p. 127
f1(Phi), f2(Phi), f3(Phi)|Function|Arbitrary functions|$f_{1}\left(\phi\right)$, $f_{2}\left(\phi\right)$, $f_{3}\left(\phi\right)$|This functions help build algebraically the metric tensor and the action.|Will, 1993, p. 117 Table 5.1, p. 136 
Kappa1, Kappa2|Function|Arbitrary functions|$\kappa_{1}$, $\kappa_{2}$||
n0|Function|n0|||
r, q|Function|$r$, $q$: Arbitrary parameters|||Will, 1993, p. 117 Table 5.1, p. 125
tau|Function|$\tau$: Arbitrary parameter||This represents a constraint on the gauge of the vector field $k_{\mu}$ imposed by the lack of full gauge invariance of the action $I$.|Will, 1993, p. 117 Table 5.1, p. 127, 128
w|Function|$w(\phi)$: Arbitrary coupling function|||
B|GO|$B$: Symmetric tensor field||The symmetric tensor field $B$ is typically associated with the presence of multiple metrics, which describe how distances and intervals are measured in different ways. In stratified and bimetric theories there might be two or more metrics to describe different aspects of gravity or spacetime such as variations in gravity's strength or range. $B$ helps relate and reconcile these metrics, ensuring that the theory remains self-consistent.|Will, 1993, p. 117 Table 5.1
eta|GO|$\eta$: Minkowski’s metric||Flat non-dynamical metric. Since $Riem(\gamma)=0$, we can always choose global coordinates in which $\eta_{\mu\nu}=diag(-1,1,1,1)$.|
Kmn|GO|$K^{\mu}$: Dynamical vector field||(assumed timelike)|
Metric Connection|GO|$\left\{ _{\mu\nu}^{\lambda}\right\} $: Metric connection||Also called Levi-Civita connection, it is dependent on the metric $g$. It gives us information about how to transport vectors along a curve, while conserving the metric.|
Metric Tensor|GO|$g_{\mu\nu}$: Metric tensor||A symmetric tensor field of type $(0,2)$ and signature $<1,3>$. Provides a sense of distance and angles between vectors telling us about shortest curve.|
Phi|GO|$\phi$: Dynamical scalar field||Rest masses of elementary particles are allowed to vary in spacetime via a dynamical scalar field $\phi$.|Will, 1993, p. 125
Psi|GO|$\psi$: Matter fields|||
Ricci Scalar|GO|$R$:Ricci scalar|$R=g^{\mu\nu}R_{\mu\nu}$||
t|GO|$t$: Cosmic time function||A nondynamical scalar field. The gradient of $t$ is covariantly constant and timelike with respect to $\eta$. This scalar field selects out preferred spatial sections of “strata” in the universe that are orthogonal to $\nabla$.|Will, 1993, p. 117 Table 5.1, p. 135
Tmn|GO|$T$: Stress-Energy-Momentum tensor field||Symmetric tensor field $(2,0)$.|
M|M|M: Differentiable manifold||A topological space that resembles euclidean space near each point. It can be coordinatized by Rn through a family of homeomorphisms.|
Geodesic Law|MovEq|Geodesic Law|$D_{T\sigma}T_{\sigma}=0$|Free particles follow timeline geodesics of the connection.|
<1,3>|Typ|Signature for the metric tensor|$<1,3>$|The signature contains one positive and three negative index. There are GR models with different signatures.|
Dependent|Typ|Dependency||The connection $\Gamma_{\mu\nu}^{\lambda}$  and the metric tensor $g_{\mu\nu}$  depend on each other.|
N|Typ|Dimension: $N=4$||The dimension of a vector space is the cardinality of a base of $M$.|
Not-Definite-Positive|Typ|Signature||for the metric tensor: Not-definite-positive $<-,+,+,+>$ or $<+,-,-,->$.|
