Attribute|Class|Title|Formula|Explanation|Reference
Analysis|FB|Analysis||The branch of mathematics dealing with limits and related theories, such as differentiation, integration, measure, infinite series, and analytic functions.|
Analytic Geometry|FB|Analytic Geometry||The study of geometry using a coordinate system.|
Dimensional Analysis|FB|Dimensional Analysis||The analysis that exhibits the genera to which a set of magnitudes belong.|Bunge, 1967, p. 38
Logic|FB|Logic||The systematic study of valid rules of inference, analysis and appraisal of arguments.|Bunge, 1967, p. 11
Manifold Geometry|FB|Manifold Geometry||Branch of differential geometry that studies topological spaces that locally resembles Euclidean space near each point.|Bunge, 1967, p. 113, 145, 160, 218
Mathematical Statistics|FB|Mathematical Statistics||The application of probability theory to statistics.|Bunge, 1967, p. 241
Probability Theory|FB|Probability Theory||Branch of mathematics concerned with probability as a rigorous mathematical concept expressed in a set of axioms.|Bunge, 1967, p. 89, 241
Semantics|FB|Semantics||The systematic study of meaning in language, formal logic and semiotics.|Bunge, 1967, p. 18
Set Theory|FB|Set Theory||Theory of collections of mathematical objects.|
Theory of Riemannian Spaces|FB|Theory of Riemannian Spaces||Branch of differential geometry that studies smooth manifolds with a Riemannian metric.|
Topology|FB|Topology||The study of properties of geometric objects that are preserved under continuous deformations, such as stretching, twisting, crumpling and bending, but not tearing or gluing.|
Vector Spaces Theory|FB|Vector Spaces Theory||Theory of the addition and multiplication of vector spaces.|
Einstein’s Eq|FieldEq|Einstein’s field equation|$G_{1}^{*}G_{2}^{*}Ric-\frac{1}{2}Rg^{*}=-8\pi kT$|For every $x\in V$, every $\sigma\in\Sigma$, every $\bar{\sigma}\in\bar{\Sigma}$ and every $\mathrm{T\in\left\{ \mathrm{T}\right\} }$, there is a $g\in\{g\}$ such that<br>$G=\kappa\mathrm{T}$.|Bunge, 1967, GR 6.2
Force Density|FieldEq|Force density||The force density exerted by an external field $\left\langle E,B\right\rangle \hat{=}\varphi\in\Phi$ on $\sigma\in \Sigma$ is<br>$f=\rho\left(E+\frac{v}{c}\times B\right)$.|Bunge, 1967, CEM 3, 4.3
Maxwell’s Eq|FieldEq|Maxwell’s equations||At any point $x\in M^{3}$ and any instant $t\in T$ for every field<br>$varphi\in \Phi$ and every charged body<br>$\sigma\in \Sigma$, there exists a<br>$k\in K$ such that<br>$\nabla\times E=-\frac{1}{c}\frac{\partial B}{\partial t}$, $\nabla\cdot B=0$<br>$\nabla\times B=-\frac{1}{c}\frac{\partial E}{\partial t}+\frac{4\pi}{c}j$, $\nabla\cdot E=4\pi\varrho$.|Bunge, 1967, CEM 2
Inertial Frame|Frames|Inertial reference frames||$I\neq\emptyset\land I\subset\Sigma-S$.<br>Every $i\in I$ is an inertial reference frame.<br>For every $i\in I$ there is a basis $e=\left\langle e_{1},e_{2}.e_{3}\right\rangle $ such that $e\hat{=}i$.|Bunge, 1967, SR 3
K|Frames|Physical reference frames||$K$ is a nonempty denumerable set.<br>Every $k$ is a rigid system of corpuscles at least four of which lie on the vertices of a regular trihedral.<br>For every $k$ there exists a Cartesian system of axes $e=\left\langle e_{1},e_{2}.e_{3}\right\rangle $ such that $e\hat{=}k$.<br>No $k$ interacts with any $\sigma\subset\Sigma$ that is not a part of $k$.<br>The configuration of every $k\in K$ is time-independent.|Bunge, 1967, PM 2.3, CM 2.1, GR 4.1
Physical Coordinates|Frames|Physical coordinates||These identify physical things and are relative to some physical frame, and should not be confused with the geometrical coordinate system.|Bunge, 1967, p. 104, 130, 219, 222
Reference Frame|Frames|Reference frame||$K$ is a nonempty denumerable set.<br>Every $k$ is a rigid system of corpuscles at least four of which lie on the vertices of a regular trihedral.<br>For every $k$ there exists a Cartesian system of axes $e=\left\langle e_{1},e_{2}.e_{3}\right\rangle $ such that $e\hat{=}k$.<br>No $k$ interacts with any $\sigma\subset\Sigma$ that is not a part of $k$.<br>The configuration of every $k\in K$ is time-independent.|Bunge, 1967, p. 103, 104, 136, 145, 151
Metric Tensor|GO|$g_{\mu\nu}$: Metric tensor||$\left\{ g\right\} $ is a nonempty family of symmetric tensor fields, of valence (0,2), on $M^{4}$.<br>The components of $g$ and their first and second derivatives w.r.t. the $x^{\mu}$ are real valued and bounded in every $V\subset M^{4}$ with the possible exception of a proper subset of $V$.<br>$M^{4}$ is endowed with a metric $ds^{2}=g_{\mu\nu}dx^{\mu}dx^{\nu}$ with $\mu,\nu=0,1,2,3$.|Bunge, 1967, GR 3.1
Analytical Dynamics|MB|Analytical Dynamics||A class of theories partially interpreted that describe the evolution of physical systems.|Bunge, 1987, p. 112
Field Theory|MB|Field Theory||Any theory containing the mathematical concept of field (an extended imponderable that cannot be transformed away).|Bunge, 1967, p. 86
General Systems Theory|MB|General Systems Theory||A set of interrelated concepts and principles applying to all systems.|Bunge, 1967, p. 108
Physical Euclidean Geometry|MB|Physical Euclidean Geometry||Euclidean geometry with a physical interpretation. it holds reasonably well for small regions of space.|Bunge, 1967, p. 101
Physical Geometry|MB|Physical Geometry||A geometrical theory gives different physical meanings to<br>the primitives of the abstract theory D of metric spaces.|Bunge, 1967, p. 101
Physical Probability Theory|MB|Physical Probability Theory||Theory of mathematical probability plus a physical interpretation of its primitives U and P.|Bunge, 1967, p. 91, 242
Theory of Local Time|MB|Theory of local time||A theory of time relational to different inertial frames.|
Theory of Universal Time|MB|Theory of Universal Time||A theory that assumes a single relational time for every place and every reference frame.|
Balance of Momentum|MovEq|Law of balance of momentum||For every $\sigma\in\Sigma$, $t\in T$, every $\varrho\in\left\{ \varrho\right\} $, every $f_{b}\in\left\{ f_{b}\right\} $ and every $\mathrm{T\in\left\{ \mathrm{T}\right\} }$, there exists a $k\in K$ such that $\dot{p}=F$.|Bunge, 1967, CM 3.3
Eq 01|MovEq|Eq 01: Newton’s Second Law|$\dot{p}=F^{e}+F^{i}$|Newton's second law of motion, which states that the rate of change of momentum of an object is equal to the net force acting on it. |Bunge, 1967, p. 123
Eq 02|MovEq|Eq 02: Hamilton's Equations|$\dot{q}=\frac{\partial H}{\partial p}$, $\dot{p}=-\frac{\partial H}{\partial q}$|These two equations describe the dynamics of a physical system in terms of generalized coordinates $q$ and their conjugate momenta $p$. $\dot{q} = \frac{\partial H}{\partial p}$ describes how the generalized coordinates $q$ change with time. It states that the rate of change of a coordinate $q$ is given by the partial derivative of the Hamiltonian $H$ with respect to the corresponding conjugate momentum $p$. In other words, it describes how the positions evolve in response to changes in momentum. $\dot{p} = -\frac{\partial H}{\partial q}$: This equation describes how the conjugate momenta $p$ change with time. It states that the rate of change of momentum $p$ is equal to the negative partial derivative of the Hamiltonian $H$ with respect to the corresponding generalized coordinate $q$. This equation reveals how momentum changes due to variations in position.|Bunge, 1967, p. 123
Eq 03|MovEq|Eq 03: Hamilton's Equations|$\dot{\phi}=P\cdot\nabla H$|This equation represents the rate of change of a generalized coordinate $\Phi$ with time. This change is determined by the dot product of a generalized momentum vector $P$ and the gradient (nabla, $\nabla$) of the Hamiltonian function $H$. This equation is a fundamental element of Hamiltonian mechanics and describes how coordinates evolve in response to variations in momentum and the Hamiltonian energy function.|Bunge, 1967, p. 123
Eq 04|MovEq|Eq 04: Hamilton-Jacobi Equation|$\frac{\partial S}{\partial t}+H=0$|This equation expresses the conservation of the action $S$ with respect to time $t$ in the Jacobian theory. It states that the rate of change of the action with respect to time, represented by the partial derivative $\frac{\partial S}{\partial t}$, is equal to minus the Hamiltonian $H$ of the system. In other words, it asserts that the total action of the system, when combined with the Hamiltonian, remains constant over time. |Bunge, 1967, p. 123
Eq 05|MovEq|Eq 05: Euler-Lagrange equation|$\frac{d}{dt}\left(\frac{\partial L}{\partial\dot{q}}\right)-\frac{\partial L}{\partial q}=0$|This equation describes the dynamics of a physical system. It states that the time derivative of the partial derivative of the Lagrangian function $L$ with respect to the generalized velocity $q̇$ minus the partial derivative of the Lagrangian with respect to the generalized coordinate $q$ is equal to zero.|Bunge, 1967, p. 123
F = ma|MovEq|Newton’s laws||For every $\sigma,\sigma'\in\Sigma$, every $t\in T$, every $F^{e}\in\left\{ F^{e}\right\} and every $F^{i}\in\left\{ F^{i}\right\}, there is at least one $k\in K$ such that<br>$\dot{p}(\sigma,t,k)=F^{e}(\sigma,t,k)+\underset{\sigma’\neq\sigma}{\sum}F^{i}(\sigma,\sigma’,t,k)$<br>and<br>$F^{i}(\sigma,\sigma’,t,k)=-F^{i}(\sigma’,\sigma,t,k)$.|Bunge, 1967, PM 3.5
Moment of Momentum|MovEq|Law of moment of momentum||For every $\sigma\in\Sigma$, every $t\in T$,every $\varrho\in\left\{ \varrho\right\} $, every $f_{b}\in\left\{ f_{b}\right\} $, and every $\mathrm{T\in\left\{ \mathrm{T}\right\} }$, there exists a $k\in K$ such that $\dot{L}=N$.|Bunge, 1967, CM 3.4
Action|Postulates|Action Principle||This is a declaration of the form $\partial S=0$ where $\partial S$ designates the first variation of a functional $S$ of a set of physical variables $q,q',q''$, … referring to to a physical system, where $S$ is a definite integral, $\partial q=0$ in the limits of integration and $\partial S=0$ implies physical laws, say equations of motion or field equations. |Bunge, 1967, p. 46
Bodies|Referents|Bodies||$\Sigma$ is a nonempty denumerable set.<br>Every $\Sigma$ is a body.|Bunge, 1967, CM 1.1
Charged Bodies|Referents|Charged bodies||$\Sigma$ is a nonempty set.<br>Every $\Sigma$ is a charged body.|Bunge, 1967, CEM 1.2
EM Signals|Referents|Electromagnetic signals||$S\neq\emptyset$ and $S\subset\Sigma$.<br>Every $s\in S$ represents an electromagnetic signal.|Bunge, 1967, SR 2
Gravitational Fields|Referents|Gravitational fields||$\Sigma$ is a nonempty set.<br>Every $\Sigma$ represents a gravitational field.|Bunge, 1967, GR 1.1
Non Gravitational Fields|Referents|Physical entities other than gravitational fields||$\overline{\Sigma}$ is a nonempty set disjoint from sigma.<br>Every $\overline{\Sigma}$ represents a physical system other than  a gravitation field.|Bunge, 1967, GR 1.2
Particles|Referents|Point particles||$\Sigma$ is a nonempty denumerable set.<br>Every $\Sigma$ is a particle.|Bunge, 1967, PM 2.1
Physical Systems|Referents|Physical system (material or not)||$\Sigma\neq\emptyset$.<br>Every $\sigma\subset\Sigma$ represents a physical system.|Bunge, 1967, SR 1
System of Particles|Referents|System of particles||A collection of individual particles that interact with each other in some way.|
Coordinate Transformations|Transformation|Coordinate transformations||All coordinate transformations in $M^{4}$ are bijective maps.<br>The Jacobian of every coordinate transformation vanishes nowhere.<br>Areas and volumes should not vanish upon coordinate transformations, for otherwise things themselves would appear to vanish by sheer paper and pencil operations.<br>(Bunge, 1967, GR 2.2).|Bunge, 1987, GR 2.2
Map|Transformation|Transformation|$X:b¬C$|For every $X\in\left\{ X\right\}$, every $b\in\beta$ and every $t\in T$, the map $X:b\rightarrow C$ is 1:1, onto and continuous.<br>For every $X\in\left\{ X\right\}$, every $b\in\beta$ and every $t\in T$ the image $C=X(b,t)$ of $b$ under $X$ is a compact set with a piecewise continuous boundary $\partial X(b,t)$.<br>For every $\sigma\in\Sigma$ and $t\in T$ there exists an $X\in\left\{ X\right\} $ such that the image $X(b,t)$ of $b$ under $X$ represents the place occupied by the body sigma represented by $b$.<br>(Bunge, 1967, CM 1.4).|Bunge, 1967, CM 1.4
1/r|Typ|Postulate from empirical observation||$E$ and $B$ drop off with distance at least as fast as $\frac{1}{r}$.|Bunge, 1967, CEM 1.8
<1,3>|Typ|Signature|$<1,3>$|$g_{00}>0$ and $g_{ij}<0$ $(i,j, =1,2,3)$ everywhere.<br>$g_{ij}-(g_{0i}g_{0j}/g_{00})<0$ everywhere.<br>To ensure that $x^{0}$, or rather $(g_{00})^{\frac{1}{2}}\frac{x^{0}}{c}$, be a time coordinate and the others be space coordinates as required by GR 2.3.|Bunge, 1967, GR 3.2
Asymptotic Form|Typ|Asymptotic form||The components of $g$ approach constant values as the $x^{i}(i=1,2,3)$ tend to infinity.<br>The metric tensor, which solves the field equations, should represent an isolated system. Outside every $V\subset M^{4}$, the asymptotic forms of the components of $g$ are those of outgoing spherical waves.|Bunge, 1967, GR 3.3
CM 2.2|Typ|Equivalence class of representations||Let $X'=a+QX$, with $a$ and $Q$ functions of time, represent a change of frame. Then<br>If $V$ is a vector referring to $\pi\dot{\in}\sigma\in\Sigma$, which upon a change of frame becomes $V’=QV$, then $V’$ and $V$ refer to the same physical situation.<br>If $S$ is a 2nd rank tensor referring to $\pi\dot{\in}\sigma\in\Sigma$, which upon a change of frame becomes $S'=QS\tilde{Q}$, where $\tilde{Q}$ is the transposed of $Q$, then $S’$ and $S$ refer to the same physical situation.|Bunge, 1967, CM 2.2
GR 5.2|Typ|Tipification for components of T||The components of $\mathrm{T}$ are real valued functions of $\bar{\sigma}$, $k$, $X$ and $t$.<br>The components of $\mathrm{T}$ vanish outside $V$.|Bunge, 1967, GR 5.2
GR 6.3|Typ|Postulate||Two solutions of Einsteins’s equation which can be transformed into one another by an admissible coordinate transformation refer to the same field.|Bunge, 1967, GR 6.3
Mass Additivity|Typ|Mass additivity||For every $\sigma\in\Sigma$, if $b\hat{=}\sigma$ and $C$ is the image of $b$ under $X$, then $M$ is a Continuous function of the volume (Lebesgue measure) $\mu(b,t)$ of $b$ at $t$.<br>b) For any two distinct $\sigma,\sigma'\in\Sigma$, if $b\hat{=}\sigma$ and $b’\hat{=}\sigma’$, and $b\cup b'\hat{=}\sigma+\sigma'$, then $M(b\cup b')=M(b)+M(b')$.<br>c) If $b\hat{=}c$, then $M(b)$ represents the mass of $\sigma$.|Bunge, 1967, CM 1.6
Mass Conservation|Typ|Mass conservation||For every $\sigma\in\Sigma$, if $b\hat{=}\sigma$ and $C=X(b,t)$ and $C’ =X’(b)$ are two different configurations of $\sigma$ at a given time $t$, then the corresponding masses are the same: $M(\sigma)=\underset{X(b)}{\int}d^{3}x\varrho_{X}=\underset{X’(b)}{\int}d^{3}x\varrho_{X'}$|Bunge, 1967, CM 1.7
PM 2.5|Typ|Postulate: Position and velocity values uniquely identify a particle||For any two $\sigma,\sigma'\in\Sigma$ and every $k\in K$ and every $t’\in T$, if $X\left(\sigma,t,k\right)=X\left(\sigma',t,k\right)$ and $\dot{X}\left(\sigma,t,k\right)=\dot{X}\left(\sigma',t,k\right)$, then $\sigma=\sigma’$.<br>In words: the position and velocity values uniquely identify (characterize) a particle. Coordinates alone are insufficient for this: thus two different particles may be at the same place at the instant of collision but then they will have different (vector) velocities.|Bunge, 1967, PM 2.5
PM 3.2|Typ|The mass of a system of point particles equals the sum of the partial masses||If $\sigma_{i}\in\Sigma$ for every finite $i\in N$, then $M\left(\underset{i}{\dot{\sum}}\sigma_{i}\right)=\underset{i}{\sum}M(\sigma_{i})$.|Bunge, 1967, PM 3.2
Postulate|Typ|Postulate: Once a particle always a particle||For any two different $t$, $t'\in T$, ir $\sigma\in\Sigma$ at $t$, then $\sigma\subset\Sigma$ at $t’$.<br>This postulate is needed in order to warrant that predictions and retrodictions calculated for a $Sigma$ on laws of motion and initial conditions will still refer to $Sigma$.|Bunge, 1967, PM 2.2
Tensor Degeneration|Typ|Tensor degeneration||When the constitutive tensor degenerates into $(\epsilon,\mu^{-1})$, the field equations become $\nabla\times E=-\frac{1}{c}\frac{\partial B}{\partial t}$, $\nabla\cdot B=0$,<br>$\nabla\times H=-\frac{1}{c}\frac{\partial D}{\partial t}+\frac{4\pi}{c}j$, $\nabla\cdot D=4\pi\rho$.|Bunge, 1967, p. 
Antecedence|Z|Antecedence|$B(t)=\intop_{-\infty}^{\t}dt'K(t',t)A(t')$|If $A$ and $B$ are time-dependent properties and $A$ determines $B$ (whether causally or stochastically), then $B$ at time $t$ is a functional of $A$ at all times $t’$ prior to and up to $t$.|Bunge, 1987, p. 87
Contiguity|Z|Contiguity|$B(t)=\intop_{-\infty}^{\infty}dx'K(x',x)A(x')$|If $A$ and $B$ are place-dependent properties and $A$ determines $B$ (whether causally of stochastically), then $B$ at the place $x$ is a functional of $A$ at all places $x’$ surrounding $x$. The value of the kernel $K$ represents the weight of the local contribution of $A$.|Bunge, 1967, p. 87
Equipresence|Z|Equipresence||An independent variable present in one constitutive equation is so present in all.|Bunge, 1967, p. 88
Galilian Invariance|Z|Galilean Invariance||The basic laws of physics shall be invariant under transfomations of cooordinates representing changes of inertial (Galilean) frames.|Bunge, 1967, p. 86
General Covariance|Z|General Covariance||The basic law statements of physics should hold in any frame of reference and in any coordinate system. They should be preserved under arbitrary changes in coordinate systems, whether or not the latter mirror different physical reference frames.|Bunge, 1967, p. 213
Lorentz Invariance|Z|Lorentz Invariance||The basic laws of physics shall be invariant under Lorentz transfomations of cooordinates representing changes of inertial frames.|Bunge, 1967, p. 87
Material Indifference|Z|Material Indifference||Or objectivity. The constitutive equations must be invariant under coordinate transformations.|Bunge, 1967, p. 88
Space-Time Contiguity|Z|Space-time contiguity||Only field regions connectible by a field disturbance (hence separated by a timelike interval) can interact.|
Uniform Convergence|Z|Uniform convergence||All series whose terms represent physical objects shall be uniformly convergent on the given interval.|
