Attribute|Class|Title|Formula|Explanation|Reference
Einstein’s Eq|FieldEq|Einstein’s field equation|$G_{1}^{*}G_{2}^{*}Ric-\frac{1}{2}Rg^{*}=-8\pi kT$|Matter tells space how tu curve, and Curvature tells matter how to move.|
Eq 1|FieldEq|Field equation for Mond local F(R,T)|||
Eq 14|FieldEq|Field Equation for Mond non local pure Metric|$\left(\frac{f_{R}}{L_{M}^{2}}\right)R_{\mu\nu}-\frac{1}{2L_{M}^{2}}fg_{\mu\nu}+\left[g_{\mu\nu}\Delta-\Delta_{\mu}\Delta_{\nu}\right]\left(\frac{f_{R}}{L_{M}^{2}}\right)=\frac{8\pi G}{c^{4}}T_{\mu\nu}-\left(\frac{f}{L_{M}^{2}}\right)_{T}\left[T_{\mu\nu}+\Theta_{\mu\nu}\right]$||
Eq 18|FieldEq|Palatini field equation 1|$f'(\Re)\Re_{\mu\nu}-\frac{1}{2}f(\Re)g_{\mu\nu}=\kappa T_{\mu\nu}$||
Eq 19|FieldEq|Palatini field equation 2|$\bar{\nabla}_{\lambda}(\sqrt{-g}f'(\Re)g^{\mu\nu})=0$|($\bar{\nabla}_{\lambda}$) is the covariant derivative defined with the independent connection.|
Eq 4|FieldEq|Field Equation for Mond local pure Metric|$F_{R}R_{\alpha\beta}+\left(g_{\alpha\beta}\nabla^{\mu}\nabla_{\mu}-\nabla_{\alpha}\nabla_{\beta}\right)F_{R}-\frac{1}{2}\left(F-F_{\mathcal{\mathcal{L}}}\right)g_{\alpha\beta}=\frac{1}{2}F_{\mathcal{L}}T_{\alpha\beta}$||
Eq 46|FieldEq|Field Equation|$f'(\Re)\Re_{(\mu\nu)}-\frac{1}{2}f(\Re)g_{\mu\nu}=\kappa T_{\mu\nu}$||
Eq 47|FieldEq|Field Equation|$\frac{1}{\sqrt{-g}}\left[-\bar{\nabla}_{\lambda}\left(\sqrt{-g}f'(\Re)g^{\mu\nu}\right)+\bar{\nabla}_{\sigma}\left(\sqrt{-g}f'(\Re)g^{\mu\sigma}\right)\delta_{\lambda}^{\nu}\right]+2f'(\Re)(g^{\mu\nu}S_{\lambda\sigma}^{\sigma}-g^{\mu\rho}S_{\rho\sigma}^{\sigma}\delta_{\lambda}^{\nu}+g^{\mu\sigma}S_{\sigma\lambda}^{\nu})=\kappa(\Delta_{\lambda}^{\mu\nu}-B_{\lambda}^{[\mu}\delta^{\nu]})$|Field equation after varying independently with respect to the connection.|
Eq 48|FieldEq|Field Equation|$S_{\mu\sigma}^{\sigma}=0$|Field equation after varying independently with respect to the Lagrange multiplier.|
Eq 6|FieldEq|Field equation of metric  $f(R)$|$f'(R)R_{\mu\nu}-\frac{1}{2}f(R)g_{\mu\nu}-\left[\nabla_{\mu}\nabla_{\nu}-g_{\mu\nu}\nabla^{\mu}\nabla_{\mu}\right]f'(R)=\kappa T_{\mu\nu}$||
Eq 8|FieldEq|Field Equation for Mond non local Palatini|$f'(\chi)\chi_{\mu\nu}-\frac{1}{2}f(\chi)g_{\mu\nu}=\frac{8\pi GL_{M}^{2}}{c^{4}}T_{\mu\nu}$||
Eq 9a|FieldEq||$R_{\mu\nu}=0$|If the Ricci scalar $R=0$, then the field equation reduces to $R_{\mu\eta}=0$.|
Eq 9b|FieldEq||$R_{\mu\nu}=g_{\mu\nu}\frac{C}{4}$|If the Ricci scalar $R=const.$, then the field equation reduces to $R_{\mu\nu}=g_{\mu\nu}\frac{C}{4}$, and the maximally symmetric solution is de Sitter or anti-de Sitter space depending on the sign of the constant.|
Eq 9c|FieldEq||$R_{\mu\nu}=-g_{\mu\nu}\frac{C}{4}$|If the Ricci scalar $R=cte$, then the field equation reduces to $R_{\mu\nu}=g_{\mu\nu}\frac{C}{4}$, and the maximally symmetric solution is de Sitter or anti-de Sitter space depending on the sign of the constant.|
Affine Connection|GO|$\Gamma$: Affine connection||A generalised connection for vector fields in curved spaces where torsion and non-metricity are not necessarily zero, telling us about straitest curve.|
Curvature|GO|$Riem(\Gamma)$: Riemann curvature tensor||This geometric object is used to quantify the intrinsic curvature of a space. It has several components expressed in terms of partial derivatives of the affine connection (Found as K in Friedman, 1983)|
eta|GO|$\eta$: Minkowski’s metric||Flat non-dynamical metric. Since $Riem(\gamma)=0$, we can always choose global coordinates in which $\eta_{\mu\nu}=diag(-1,1,1,1)$.|
Hyp|GO|Hypermomentum|$\Delta_{\lambda}^{\mu\nu}\equiv-\frac{2}{\sqrt{-g}}\frac{\partial S_{M}}{\partial\Gamma_{\mu\nu}^{\lambda}}$,|A quantity representing the variation of SM with respect to the connection, which mimics the definition of the stress-energy tensor. |
Metric Affine Connection|GO|$\Gamma*$: Metric-Affine connection||A connection for Metric-affine spaces where non-metricity and torsion are not zero.|
Metric Connection|GO|$\left\{ _{\mu\nu}^{\lambda}\right\} $: Metric connection||Also called Levi-Civita connection, it is dependent on the metric $g$. It gives us information about how to transport vectors along a curve, while conserving the metric.|
Metric Tensor|GO|$g_{\mu\nu}$: Metric tensor||A symmetric tensor field of type $(0,2)$ and signature $<1,3>$. Provides a sense of distance and angles between vectors telling us about shortest curve.|
Non Metricity|GO|Non metricity tensor|$Q_{\mu\nu\lambda}\equiv-\widetilde{\nabla}_{\mu g\nu\lambda}$,|It measures the failure of the connection to covariantly conserve the metric.|
Psi|GO|$\psi$: Matter fields|||
R*|GO|$\Re$: Affine Ricci scalar|$\Re=g^{\mu\nu}\Re_{\mu\nu}$||
Ricci Scalar|GO|$R$:Ricci scalar|$R=g^{\mu\nu}R_{\mu\nu}$||
Tmn|GO|$T$: Stress-Energy-Momentum tensor field||Symmetric tensor field $(2,0)$.|
Torsion|GO|Cartan torsion tensor|$S_{\mu\nu}^{\lambda}\equiv\Gamma_{\left[\mu\nu\right]}^{\lambda}$|The anti-symmetric part of the connection.|
Weyl Vector|GO|Weyl vector|$Q_{\mu}\equiv\frac{1}{4}Q_{\mu\nu^{\nu}}$|The Weyl vector is the trace of the non-metricity tensor with respect to its last two (symmetric) indices.|
Xi3/2|GO|Medoza’s tensor $\chi_{\mu\nu}:=L_{M}^{2}R_{\mu\nu}$||Where $L_{M}^{2}$ defines a length fixed by the parameters of the theory.|
M|M|M: Differentiable manifold||A topological space that resembles euclidean space near each point. It can be coordinatized by Rn through a family of homeomorphisms.|
Eq 18Mond|MovEq|Equation of motion for Mond non local pure metric|$\nabla^{\mu}T_{\mu\nu}=\left(\frac{f}{L_{M}^{2}}\right)_{T}\left\{ \frac{8\pi G}{c^{4}}-\left(\frac{f}{L_{M}^{2}}\right)_{T}\right\} ^{-1}\times\left[\left(T_{\mu\nu}+\Theta_{\mu\nu}\right)\nabla^{\mu}ln\left(\frac{f}{L_{M}^{2}}\right)_{T}\left(R,T\right)+\nabla^{\mu}\theta_{\mu\nu}\right]$||
Eq 2|MovEq|Equation of motion for Mond non local Palatini|||
Eq 3|MovEq|Equation of motion for Mond F(R,T)|||
Eq 34 and 35|MovEq|Equation of motion for Mond local pure metric|$\frac{dx^{\mu}}{ds^{2}}+\Gamma_{\nu\alpha}^{\mu}\frac{dx^{\mu}}{ds}\frac{dx^{\alpha}}{ds}=\left(g_{\mu\nu}-u_{\mu}u_{\nu}\right)\nabla^{\mu}ln\left[\left(16\pi\kappa\kappa'+f_{\xi}\right)\frac{d\mathcal{L}}{d\rho}\right]$||
Geodesic Law|MovEq|Geodesic Law|$D_{T\sigma}T_{\sigma}=0$|Free particles follow timeline geodesics of the connection.|
<1,3>|Typ|Signature for the metric tensor|$<1,3>$|The signature contains one positive and three negative index. There are GR models with different signatures.|
Dependent|Typ|Dependency||The connection $\Gamma_{\mu\nu}^{\lambda}$  and the metric tensor $g_{\mu\nu}$  depend on each other.|
Independent|Typ|Independency between variables||The connection $\Gamma_{\mu\nu}^{\lambda}$ may be expressed independently of the metric tensor $g_{\mu\nu}$.|
N|Typ|Dimension: $N=4$||The dimension of a vector space is the cardinality of a base of $M$.|
Not-Definite-Positive|Typ|Signature||for the metric tensor: Not-definite-positive $<-,+,+,+>$ or $<+,-,-,->$.|
