Attribute|Class|Title|Formula|Explanation|Reference
K0|Cosmo|$K_{0}$: Parámetro de coincidencia cosmológica|||
lambda|Cosmo|Función cosmológica $\lambda(\phi)$||$\lambda(\phi)$ provoca dos efectos: en la ecuación de campo para $g$ juega el mismo papel que la constante cosmológica en GR y, en la ecuación de campo, da a $(\phi)$ un rango l relacionado con $\lambda$, $w$ y sus derivados, en el sentido de que las soluciones para $(\phi)$ para un sistema aislado contienen términos tipo Yukawa $exp\left(-r/l\right)$|Will, 1993, p. 123
Phi0|Cosmo|$\phi_{0}$: Parámetro de coincidencia cosmológica|||Will, 1993, p. 125
w0, w1|Cosmo|$w_{0}$, $w_{1}$: Parámetros de coincidencia cosmológica|||
G 5-101|ElemDis|“Constante” Gravitacional|$G_{today}=c^{2}c_{1}^{\frac{1}{2}}c_{0}^{\frac{-3}{2}}(1+\kappa_{2}^{2}/4\kappa_{1})^{-1}=1$||
G 5-38|ElemDis|“Constante” Gravitacional|$G_{today}\equiv\phi_{0}^{-1}\left(\frac{4+2w}{3+2w}\right)=1$||
G 5-61|ElemDis|“Constante” Gravitacional|$G_{today}\equiv G\left[\frac{1}{2}\left(\gamma+1\right)+\frac{3}{2}wK^{2}\left(\gamma-1\right)-\frac{1}{2}\left(\eta-\tau\right)K^{2}\left(1+\sigma\right)\right]^{-1}=1$||
G 5-63|ElemDis|“Constante” Gravitacional|$G_{today}=\frac{G}{(1+\frac{1}{2}K^{2})}=1$||
G 5-65|ElemDis|“Constante” Gravitacional|$G_{today}=G\left[wK^{2}(\gamma+1)\right]^{-1}=1$||
G 5-70|ElemDis|“Constante” Gravitacional|$G_{today}=G(c_{0}c_{1})^{\frac{1}{2}}=1$||
G 5-89|ElemDis|Constante Gravitational|$G_{today}\equiv\frac{a+3f-4Ka-16K^{2}a}{2a(a+4f)}+O(w)=1$||
G = 1|ElemDis|“Constante” Gravitacional|$G_{today}=1=\left[constant\right]$||
Ec. 5-31|FieldEq|Ecuaciones de campo|$R_{\mu\nu}-\frac{1}{2}g_{\mu\nu}R-\lambda(\phi)g_{\mu\nu}=8\pi\phi^{-1}T_{\mu\nu}+\phi^{-2}w(\phi)(\phi,_{\mu}\phi,_{\nu}-\frac{1}{2}g_{\mu\nu}\phi,_{\lambda}\phi^{,\lambda})+\phi^{-1}(\phi_{;\mu\nu}-g_{\mu\nu}\oblong_{g}\phi)$,<br>$\oblong_{g}\phi+\frac{2\phi^{2}\frac{d\lambda}{d\phi}-3\phi\lambda(\phi)}{3+2w(\phi)}=\frac{1}{3+2w(\phi)}\left(8\pi T-\frac{dw}{d\phi}\phi,_{\mu}\phi^{,\mu}\right)$||Will, 1993, p. 123
Ec. 5-47|FieldEq|Ecuaciones de campo de las teorías vectoriales-tensoriales|$R_{\mu\nu}-\frac{1}{2}g_{\mu\nu}R-w\Theta_{\mu\nu}^{(w)}+\eta\Theta_{\mu\nu}^{(\eta)}+\epsilon\Theta_{\mu\nu}^{(\epsilon)}+\tau\Theta_{\mu\nu}^{(\tau)}=8\pi GT_{\mu\nu}$,<br>$\epsilon F_{;\nu}^{\mu\nu}+\frac{1}{2}\tau K_{;\nu}^{\mu;\nu}-\frac{1}{2}wK^{\mu}R-\frac{1}{2}\eta K^{\nu}R_{\nu}^{\mu}=0$||Will, 1993, p. 127
Ec. 5-68|FieldEq|Ecuación de campo de la teoría de Rosen|$\oblong_{\eta}g_{\mu\nu}-g^{\alpha\beta}\eta^{\gamma\delta}g_{\mu\alpha\mid\gamma}g_{\nu\beta\mid\delta}=-16\pi G(\frac{g}{\eta})^{\frac{1}{2}}(T_{\mu\nu}-\frac{1}{2}g{}_{\mu\nu}T)$||Will, 1993, p. 131
Ec. 5-75|FieldEq|Ecuación de campo de la teoría de Rastall|$\left[F(N)K^{\mu;\nu}\right]_{;\nu}-F'(N)K^{\mu}K^{\alpha;\beta}K_{\alpha;\beta}+(1+\eta^{\alpha\beta}K_{\alpha}K_{\beta})^{-\frac{1}{2}}(\Theta^{\mu\nu}-\frac{1}{2}g^{\mu\nu}\Theta)K_{\nu}=8\pi G(1+\eta^{\alpha\beta}K_{\alpha}K_{\beta})^{-\frac{1}{2}}(T^{\mu\nu}-\frac{1}{2}g^{\mu\nu}T)K_{\nu}$,<br>$\Theta^{\mu\nu}\equiv F(N)(K^{\mu;\alpha}K_{;\alpha}^{\nu}+K^{\alpha;}K_{\alpha}^{;\nu}-\frac{1}{2}g^{\mu\nu}K_{\alpha;\beta}K^{\alpha;\beta})+\left\{ F(N)\left[K^{\alpha}K^{\left(\mu;\nu\right)}-K^{\mu}K^{(\nu;\alpha)}-K^{\nu}K^{(\mu;\alpha)}\right]\right\} _{;\alpha}+F'(N)K^{\alpha;\beta}K_{\alpha;\beta}K^{\mu}K^{\nu}$||Will, 1993, p. 132
Ec. 5-84|FieldEq|Ecuación de campo de la teoría bimétrica de BSLL|$\oblong_{\eta}B^{\mu\nu}=-(\frac{4\pi}{a})(g/\eta)^{\frac{1}{2}}T^{\alpha\beta}\left[\theta_{\alpha\beta}^{\mu\nu}-f(a+4f)^{-1}\Theta_{\alpha\beta}^{\gamma\delta}\eta^{\mu\nu}\eta_{\gamma\delta}\right]$,<br>where<br>$\theta_{\alpha\beta}^{\mu\nu}=\frac{\partial g_{\alpha\beta}}{\partial B_{\mu\nu}}$.||Will, 1993, p. 134
Ec. 5-95|FieldEq|Ecuación de campo de las teorías estratificadas|$\oblong_{\eta}\phi+\left[f_{3}(\phi)+1\right]\phi_{00}+\frac{1}{2}f’_{3}(\phi)\phi_{,0}^{2}-\frac{1}{2}K_{2}B_{,ij}^{ij}=2\pi(-g)^{\frac{1}{2}}\left[T^{00}f’_{1}(\phi)-T^{ii}f'_{2}(\phi)\right]$,<br>$\oblong B^{ij}+(\frac{\kappa_{2}}{2\kappa_{1}})\phi^{,ij}=\left(\frac{2\pi}{\kappa_{1}}\right)\left(-g\right)^{\frac{1}{2}}T^{ij}$.||Will, 1993, p. 136
Ec. 6|FieldEq|Ecuación de campo de la teoría $f(R)$ métrica|$f'(R)R_{\mu\nu}-\frac{1}{2}f(R)g_{\mu\nu}-\left[\nabla_{\mu}\nabla_{\nu}-g_{\mu\nu}\nabla^{\mu}\nabla_{\mu}\right]f'(R)=\kappa T_{\mu\nu}$||
Ec. de Einstein|FieldEq|Ecuación de Einstein|$G_{1}^{*}G_{2}^{*}Ric-\frac{1}{2}Rg^{*}=-8\pi kT$|La materia le dice al espacio cómo curvarse y la curvatura le dice a la materia cómo moverse.|
a, f, k|Function|Funciones arbitrarias|$a$, $f$, $k$||Will, 1993, p. 117 Table 5.1, p. 133
e|Function|$e$: Funciones arbitrarias|||Will, 1993, p. 117, 135, 
epsilon|Function|$\epsilon$: Parámetro arbitrario|||Will, 1993, p. 127
f1(Phi), f2(Phi), f3(Phi)|Function|Funciones arbitrarias|$f_{1}\left(\phi\right)$, $f_{2}\left(\phi\right)$, $f_{3}\left(\phi\right)$||Will, 1993, p. 117 Table 5.1, p. 136 
Kappa1, Kappa2|Function|$\kappa_{1}$, $\kappa_{2}$: Funciones arbitrarias|$\kappa_{1}$, $\kappa_{2}$||
n0|Function|$n$: Parámetro arbitrario||También encontrado como $\eta$|
r, q|Function|$r$, $q$: Parámetros arbitrarios|||Will, 1993, p. 117 Table 5.1, p. 125
tau|Function|$\tau$: Parámetro arbitrario|||Will, 1993, p. 117 Table 5.1, p. 127, 128
w|Function|$w(\phi)$: Función arbitraria de acoplamiento|||
B|GO|$B$: Campo tensorial simétrico||El campo tensorial simétrico $B$ normalmente se asocia con la presencia de múltiples métricas, que describen cómo se miden las distancias y los intervalos de diferentes maneras. En las teorías estratificadas y bimétricas puede haber dos o más métricas para describir diferentes aspectos de la gravedad o el espacio-tiempo, como las variaciones en la fuerza o el alcance de la gravedad. $B$ ayuda a relacionar y conciliar estas métricas, asegurando que la teoría siga siendo autoconsistente.|Will, 1993, p. 117 Table 5.1
Conexión Métrica|GO|Conexión métrica||También llamada la conexión Levi-Civita, es dependiente de la métrica $g$. Nos da información acerca de cómo transportar vectores a lo largo de una curva conservando la métrica.|
Escalar de Ricci|GO|$R$: Escalar de Ricci|$R=g^{\mu\nu}R_{\mu\nu}$|$R=g^{\mu\nu}R_{\mu\nu}$|
eta|GO|$\eta$: Métrica de Minkowski||Métrica plana no dinámica. Dado que $Riem(\gamma)=0$, siempre podemos elegir coordenadas globales en las que $\eta_{\mu\nu}=diag(-1,1,1,1)$|
Kmn|GO|$K^{\mu}$||Campo vectorial dinámico tipo tiempo.|
Phi|GO|$\phi$: Campo escalar dinámico|||Will, 1993, p. 125
Psi|GO|$\psi$: Campos de materia|||
t|GO|$t$: Función del tiempo cósmico||"Un campo escalar no dinámico. El gradiente de $t$ es covariantemente constante y temporal con respecto a $\eta$. Este campo escalar selecciona secciones espaciales preferidas de ""estratos"" en el universo que son ortogonales a $\nabla$."|Will, 1993, p. 117 Table 5.1, p. 135
Tensor Métrico|GO|$g$: Tensor métrico||Un campo tensorial simétrico de tipo $(0,2)$. Provee una noción de distancia y ángulo entre vectores. Nos habla de la curva más corta.|
Tmn|GO|$T$: Campo tensorial de Estrés-Energía-Momentum||Campo tensorial simétrico $(2,0)$.|
M|M|$M$: Variedad diferenciable||Un espacio topológico que asemeja el espacio euclidiano en las vecindades de cada punto. Puede coordinatizarse por $R^{n}$ mediante una familia de homomorfismos.|
Ley Geodésica|MovEq|Ley Geodésica|$D_{T\sigma}T_{\sigma}=0$|Las partículas libres siguen las geodésicas de la línea tipo tiempo de la conexión.|
<1,3>|Typ|Signatura del tensor métrico|$<1,3>$|La signatura contiene un índice positivo y tres negativos. Hay modelos con signatura distinta.|
Dependiente|Typ|Dependencia entre variables||La conexión  $\Gamma_{\mu\nu}^{\lambda}$ y el tensor métrico $g_{\mu\nu}$ dependen uno del otro.|
N|Typ|Dimensión: $N=4$||La dimensión de un espacio vectorial es la cardinalidad de una base para la variedad diferenciable M.|
Signatura no toda Positiva|Typ|Signatura no toda positiva||Para el tensor métrico: no definitivamente positiva: $<-,+,+,+>$ o $<+,-,-,->$|
