Independent,Explanation,Dependent,Atributo,Class
CM 1.6 Mass additivity,"For every $\sigma\in\Sigma$, if $b\hat{=}\sigma$ and $C$ is the image of $b$ under $X$, then $M$ is a Continuous function of the volume (Lebesgue measure) $\mu(b,t)$ of $b$ at $t$. 
b) For any two distinct $\sigma,\sigma'\in\Sigma$, if $b\hat{=}\sigma$ and $b’\hat{=}\sigma’$, and $b\cup b'\hat{=}\sigma+\sigma'$, then $M(b\cup b')=M(b)+M(b')$.
c) If $b\hat{=}c$, then $M(b)$ represents the mass of $\sigma$.",,Mass additivity,Tip
CM 1.7 Mass conservation,"For every $\sigma\in\Sigma$, if $b\hat{=}\sigma$ and $C=X(b,t)$ and $C’ =X’(b)$ are two different configurations of $\sigma$ at a given time $t$, then the corresponding masses are the same: $M(\sigma)=\underset{X(b)}{\int}d^{3}x\varrho_{X}=\underset{X'(b)}{\int}d^{3}x\varrho_{X'}$",,Mass Conservation,Tip
CEM 1.5 Charge density,"$\left\{ \rho\right\} $ is a nonempty family of functions. 
Every $\rho$ is a scalar valued function from $\beta\times M^{3}\times T$ to $\mathbb{R}$. 
If $b\hat{=}\sigma$, then $\rho(b,x,t)$ represents the charge density of $\rho$ at $x$,$t$.",,Charge density,Family
CM 1.2 Bodies,"$\left\{ \beta\right\} $ is a nonempty family of point sets. 
Every $b\in B$ is a 3-dimensional differentiable manifold. 
For every $\sigma\in\Sigma$ there exists a $b\in\beta$ such that $b\hat{=}\sigma$ pointwise.",,M Bodies,Family
CEM 1.3 Charged bodies,"$\left\{ \beta\right\} $ is a nonempty family of point sets. 
Every $b\in\beta$ is a 3-dimensional differentiable manifold. 
For every $\sigma\in\Sigma$ there exists a $b\in\beta$ such that $b\hat{=}\sigma$ pointwise.",,{Beta*},Family
CEM 1.6 Electric field intensity,"$\left\{ E\right\} $ is a nonempty family of fields. 
Every $E\in\left\{ E\right\} $ is a real and vector valued function of $\Phi\times M^{3}\times T$. 
$E(\phi,x,t)$ represents the intensity of the electric component of $\phi$ at $x$,$t$.",,Electric fields,Family
CEM 1.7 Magnetic field intensity,"Every $\left\{ B\right\} $ is a non empty family of fields. Every $B\in\left\{ B\right\} $ real pseudovector valued function on  $\Phi\times M^{3}\times T$. 
$B(\phi,x,t)$ represents the intensity of the magnetic component of $\phi$ at $x$,$t$.",,Magnetic Fields,Family
CEM 1.8 Postulate from empirical observation,$E$ and $B$ drop off with distance at least as fast as $\frac{1}{r}$. ,,1/r,Tip
CEM 1.9 Magnitude of the speed of e.m. signals in vacuum,"$c$ is a positive real number such that $\left[d\right]=LT^{-1}$. 
SR 7
Every $s\in S$ propagates in vacuum, relative to any $i\in I$, with uniform rectilinear motion at the speed $c$.",,c,DE
CM 2.2 Equivalence class of representations,"Let $X'=a+QX$, with $a$ and $Q$ functions of time, represent a change of frame. Then 
If $V$ is a vector referring to $\pi\dot{\in}\sigma\in\Sigma$, which upon a change of frame becomes $V’=QV$, then $V’$ and $V$ refer to the same physical situation. 
If $S$ is a 2nd rank tensor referring to $\pi\dot{\in}\sigma\in\Sigma$, which upon a change of frame becomes $S'=QS\tilde{Q}$, where $\tilde{Q}$ is the transposed of $Q$, then $S’$ and $S$ refer to the same physical situation.",,CM 2.2,Tip
PM 2.4 Events and trayectory of motion,"For every $\sigma\in\Sigma$, and every $k\in K$, every $X\in\left\{ X\right\} $ is a continuous and real valued function from $T$ to $E^{3}$. 
For every $\sigma\in\Sigma$ and every  $k\in K$, $\dot{X}$ is a piece-wise continuous and real valued function from $T$ to $E^{3}$. 
$X(\sigma,k,t)$ represents the position of $\sigma$, relative to the frame $k$ at the instant $t$. 
Every quintuple $\left\langle \sigma,X_{1},X_{2},X_{3},t\right\rangle $ represents an event. 
For any given $\sigma\in\Sigma $ and any given $k\in K$, the set $\left\{ X(\sigma,k,t)\mid t\in T\right\} $represents a trajectory (motion) of $\sigma$. ",,PM 2.4,Family
CM 2.3 Velocity and acceleration,"The derivatives $\dot{X}$ and $\ddot{X}$ exist and are bounded for every $X\in\left\{ X\right\} $, every $\beta\in b$, every $k\in K$ and every $t\in T$. 
If $\beta\hat{=}\pi$ and $\pi\dot{\in}\sigma$, then $\dot{X}(\beta,k,t)$ and $\ddot{X}(\beta,k,t)$ represent the velocity and the acceleration respectively of the particle $\pi$ in the body $\sigma$ relative to the frame at time $t$.",,Velocity and acceleration,Family
CM 3.1 Body force density,"Every $f_{b}\in\left\{ f_{b}\right\} $ is a real and bounded vector field over $\beta\times K\times E^{3}\times T$. 
If $b\hat{=}\sigma$, then $f_{b}(b,k,x,t)$ represents the force per unit volume on the body $\sigma$. ",,Body force density,Family
CM 3.2 Body stress,"Every $\mathrm{T\in\left\{ \mathrm{T}\right\} }$ is a real and bounded tensor field of valence (2,0) over $\beta\times K\times E^{3}\times T$. 
If $b\hat{=}\sigma$, and $beta\hat{=}\pi$, then $\mathrm{T(\beta,K,x,t)}$ represents the body stress at the particle $\pi\dot{\in}\sigma$. ",,Body Stress,Family
CM 3.3 Law of balance of momentum,"For every $\sigma\in\Sigma$, $t\in T$, every $\varrho\in\left\{ \varrho\right\} $, every $f_{b}\in\left\{ f_{b}\right\} $ and every $\mathrm{T\in\left\{ \mathrm{T}\right\} }$, there exists a $k\in K$ such that $\dot{p}=F$, ",,Balance of momentum,EqMotion
CM 3.4 Law of moment of momentum,"For every $\sigma\in\Sigma$, every $t\in T$,every $\varrho\in\left\{ \varrho\right\} $, every $f_{b}\in\left\{ f_{b}\right\} $, and every $\mathrm{T\in\left\{ \mathrm{T}\right\} }$, there exists a $k\in K$ such that $\dot{L}=N$.",,Moment of momentum,EqMotion
CEM 2 Maxwell’s equations,"At any point $x\in M^{3}$ and any instant $t\in T$ for every field 
$varphi\in \Phi$ and every charged body 
$\sigma\in \Sigma$, there exists a 
$k\in K$ such that 
$\nabla\times E=-\frac{1}{c}\frac{\partial B}{\partial t}$,     $\nabla\cdot B=0$
$\nabla\times B=-\frac{1}{c}\frac{\partial E}{\partial t}+\frac{4\pi}{c}j$,   $\nabla\cdot E=4\pi\varrho$.",,Maxwell’s Equations,FieldEq
CEM 3 Force density,"The force density exerted by an external field $\left\langle E,B\right\rangle \hat{=}\varphi\in\Phi$ on $\sigma\in \Sigma$ is 
$f=\rho\left(E+\frac{v}{c}\times B\right)$",,"CEM 3, 4.3",FieldEq
Tensor degeneration,"When the constitutive tensor degenerates into $(\epsilon,\mu^{-1})$, the field equations become $\nabla\times E=-\frac{1}{c}\frac{\partial B}{\partial t}$, $\nabla\cdot B=0$,
$\nabla\times H=-\frac{1}{c}\frac{\partial D}{\partial t}+\frac{4\pi}{c}j$,   $\nabla\cdot D=4\pi\rho$",,Tensor degeneration,Tip
GR 2.2 Coordinate transformations,"All coordinate transformations in $M^{4}$ are bijective maps. 
The Jacobian of every coordinate transformation vanishes nowhere. 
Areas and volumes should not vanish upon coordinate transformations, for otherwise things themselves would appear to vanish by sheer paper and pencil operations.",,Coordinate transformations,Transformation
GR 2.3 Locality,"For any point $x\in M^{4}$ there exists a neighborhood of $x$ over which a local coordinate system can be given such that $x^{0}$ is a (local) time coordinate and $x^{1}$, $x^{2}$ and $x^{3}$ are (local) spatial coordinates. 
[Roughly: the tangent space of $M^{4}$ at any $x\in M^{4}$ is spacetime.].",,Locality,Chronogeometrical
GR 3.1 Metric tensor,"$\left\{ g\right\} $ is a nonempty family of symmetric tensor fields, of valence (0,2), on $M^{4}$.
The components of $g$ and their first and second derivatives w.r.t. the $x^{\mu}$ are real valued and bounded in every $V\subset M^{4}$ with the possible exception of a proper subset of $V$. 
 $M^{4}$ is endowed with a metric $ds^{2}=g_{\mu\nu}dx^{\mu}dx^{\nu}$ with $\mu,\nu=0,1,2,3$.",,Metric tensor,Family
GR 3.2 Signature,"$g_{00}>0$ and $g_{ij}<0$ $(i,j, =1,2,3)$ everywhere.
$g_{ij}-(g_{0i}g_{0j}/g_{00})<0$ everywhere.
To ensure that $x^{0}$, or rather $(g_{00})^{\frac{1}{2}}\frac{x^{0}}{c}$, be a time coordinate and the others be space coordinates as required by GR 2.3.",,"Signature (1,3)",Tip
GR 3.3 Asymptotic form,"The components of $g$ approach constant values as the $x^{i}(i=1,2,3)$ tend to infinity.
The metric tensor, which solves the field equations, should represent an isolated system. Outside every $V\subset M^{4}$, the asymptotic forms of the components of $g$ are those of outgoing spherical waves.",,Asymptotic form,Tip
GR 3.4 Affine conexion: gravitational potentials,a) For every $\sigma\in \Sigma$ there exists a metric tensor $g$ whose associated metric affinity $\Gamma$ represents the strength of $\sigma$.,,Affine Connection,Family
GR 5.1 Energy-momentum-stress tensor,"$\mathrm{T}$ is a contravariant symmetric tensor field on $V\subset M^{4}$.
$\mathrm{T}$ represents the energy, momentum and stress of all the systems $\bar{\sigma}\in\bar{\Sigma}$ in $V$.",,Energy-Momentum tensor,Family
GR 5.2 Tipification for components of T,"The components of $\mathrm{T}$ are real valued functions of $\bar{\sigma}$, $k$, $X$ and $t$.
The components of $\mathrm{T}$ vanish outside $V$.",,GR 5.2,Tip
GR 6.1 $\kappa$ Einstein’s constant,"$\kappa$ is a positive real number with dimension $L^{-1}M^{-1}T^{2}$.
$\kappa$ represents the coupling of $\sigma$ with $\bar{\sigma}$.",,kappa,"DE
"
GR 6.2 Einstein’s equation,"For every $x\in V$, every $\sigma\in\Sigma$, every $\bar{\sigma}\in\bar{\Sigma}$ and every $\mathrm{T\in\left\{ \mathrm{T}\right\} }$, there is a $g\in\{g\}$ such that 
$G=\kappa\mathrm{T}$.",,Einstein’s equiation,FieldEq
GR 6.3  Postulate,"
Two solutions of Einsteins’s equation which can be transformed into one another by an admissible coordinate transformation refer to the same field.",,GR 6.3,Tipification
