Independent,Explanation,Dependent,Atributo,Clase
Field equation for Rastall’s theory,"$\left[F(N)K^{\mu;\nu}\right]_{;\nu}-F'(N)K^{\mu}K^{\alpha;\beta}K_{\alpha;\beta}+(1+\eta^{\alpha\beta}K_{\alpha}K_{\beta})^{-\frac{1}{2}}(\Theta^{\mu\nu}-\frac{1}{2}g^{\mu\nu}\Theta)K_{\nu}=8\pi G(1+\eta^{\alpha\beta}K_{\alpha}K_{\beta})^{-\frac{1}{2}}(T^{\mu\nu}-\frac{1}{2}g^{\mu\nu}T)K_{\nu}$,
$\Theta^{\mu\nu}\equiv F(N)(K^{\mu;\alpha}K_{;\alpha}^{\nu}+K^{\alpha;}K_{\alpha}^{;\nu}-\frac{1}{2}g^{\mu\nu}K_{\alpha;\beta}K^{\alpha;\beta})+\left\{ F(N)\left[K^{\alpha}K^{\left(\mu;\nu\right)}-K^{\mu}K^{(\nu;\alpha)}-K^{\nu}K^{(\mu;\alpha)}\right]\right\} _{;\alpha}+F'(N)K^{\alpha;\beta}K_{\alpha;\beta}K^{\mu}K^{\nu}$",,Ec 5-75,FieldEq
Field equation for BSLL bimetric theory,"$\oblong_{\eta}B^{\mu\nu}=-(\frac{4\pi}{a})(g/\eta)^{\frac{1}{2}}T^{\alpha\beta}\left[\theta_{\alpha\beta}^{\mu\nu}-f(a+4f)^{-1}\varTheta_{\alpha\beta}^{\gamma\delta}\eta^{\mu\nu}\eta_{\gamma\delta}\right]$,
where
$\theta_{\alpha\beta}^{\mu\nu}=\frac{\partial g_{\alpha\beta}}{\partial B_{\mu\nu}}$.",,Ec 5-84,FieldEq
Field equation for stratified theories,"$\oblong_{\eta}\phi+\left[f_{3}(\phi)+1\right]\phi_{00}+\frac{1}{2}f’_{3}(\phi)\phi_{,0}^{2}-\frac{1}{2}K_{2}B_{,ij}^{ij}=2\pi(-g)^{\frac{1}{2}}\left[T^{00}f’_{1}(\phi)-T^{ii}f'_{2}(\phi)\right]$,
$\oblong B^{ij}+(\frac{\kappa_{2}}{2\kappa_{1}})\phi^{,ij}=\left(\frac{2\pi}{\kappa_{1}}\right)\left(-g\right)^{\frac{1}{2}}T^{ij}$.",,Ec 5-95,FieldEq
$K^{\mu}$: Dynamical vector field,(assumed timelike),,Kmn,FieldEq
$\phi$: Dynamical scalar field,,,Phi,GO
Symmetric tensor field,,,B,GO
$t$: Cosmic time function,A nondynamical scalar field. The gradient of $t$ is covariantly constant and timelike with respect to $\eta$. This scalar field selects out preferred spatial sections of “strata” in the universe that are orthogonal to $\nabla$.,,t,GO
Cosmological function $\lambda(\phi)$,"$\lambda(\phi)$ causes two effects: in the field equation for $g$ it plays the same role as the cosmological constant in GR, and, in the field equation, it gives $(\phi)$ a range l related to $\lambda$, $w$ and their derivatives, in the sense that the solutions for $(\phi)$ for an isolated system contain Yukawa-like terms $exp\left(-r/l\right)$",,lambda,GO
$\lambda(\phi)=0$,,,lambda=0,Cosmo
$w(\phi)$: Arbitrary coupling function,,,w,Cond
$w’=0$,$w(\phi)\equiv constant$,,w’=0,Function
$w\rightarrow\infty$,"
",,w-inf,Cond
$w=0$,,,w=0,Cond
"$r$, $q$: Arbitrary parameters",,,r q,Cond
$n$: Arbitrary parameter,Also found as $\eta$,,n0,Function
$n=0$,,,n=0,Function
$n=-2w$,,,n=-2w,Cond
$\varepsilon$: Arbitrary parameter,,,epsilon,Cond
$\varepsilon=1$,,,e=1,Function
$\varepsilon=0$,,,e=0,Cond
$\tau=1$,This represents a constraint on the gauge of the vector field $k_{\mu}$ imposed by the lack of full gauge invariance of the action $I$.,,tau=1,Cond
$\tau$: Arbitrary parameter,,,tau,Function
$\tau=0$,"In this case, no constraint is placed on the vector field.",,tau=0,Cond
"$a$, $f$, $k$: Arbitrary functions",,,"a, f, k",Function
"$f_{1}\left(\phi\right)$, $f_{2}\left(\phi\right)$, $f_{3}\left(\phi\right)$: Arbitrary functions",,,"f1(Phi), f2(Phi), f3(Phi)",Function
$e$: Arbitrary functions,,,e,Function
"$\kappa_{1}$, $\kappa_{2}$: Arbitrary functions",,,"Kappa1, Kappa2",Function
Gravitational “constant”,$G_{today}=1=\left[constant\right]$,,G=1,ElemDis
Gravitational “constant”,$G_{today}\equiv\phi_{0}^{-1}\left(\frac{4+2w}{3+2w}\right)=1$,,G 5-38,ElemDis
Gravitational “constant”,$G_{today}\equiv G\left[\frac{1}{2}\left(\gamma+1\right)+\frac{3}{2}wK^{2}\left(\gamma-1\right)-\frac{1}{2}\left(\eta-\tau\right)K^{2}\left(1+\sigma\right)\right]^{-1}=1$,,G 5-61,ElemDis
Gravitational “constant”,$G_{today}=\frac{G}{(1+\frac{1}{2}K^{2})}=1$,"
",G 5-63,ElemDis
Gravitational “constant”,$G_{today}=G\left[wK^{2}(\gamma+1)\right]^{-1}=1$,,G 5-65,ElemDis
Gravitational “constant”,$G_{today}=G(c_{0}c_{1})^{\frac{1}{2}}=1$,,G 5-70,ElemDis
Gravitational “constant”,$G_{today}\equiv\frac{a+3f-4Ka-16K^{2}a}{2a(a+4f)}+O(w)=1$,,G 5-89,ElemDis
Gravitational “constant”,$G_{today}=c^{2}c_{1}^{\frac{1}{2}}c_{0}^{\frac{-3}{2}}(1+\kappa_{2}^{2}/4\kappa_{1})^{-1}=1$,,G 5-101,ElemDis
$\phi_{0}$: Cosmological matching parameter,,,Phi0,ElemDis
$K$: Cosmological matching parameter,,,K0,Cosmo
"$C_{0}$, $C_{1}$: Cosmological matching parameters",,,"c0, c1",Cosmo
"$w_{0}$, $w_{1}$: Cosmological matching parameters",,,"w0, w1",Cosmo
"$a$, $b$, $c$, $d$: Cosmological matching parameters",,,"a, b, c, d",Cosmo
Action for scalar-tensor theories,"$\ensuremath{I=(16\pi)^{-1}\int\left[\phi R-\phi^{-1}w(\phi)g^{\mu\nu}\phi_{,\mu}\phi_{,\nu}+2\phi\lambda(\phi)\right]\times\left(-g\right)^{\frac{1}{2}}d^{4}x+I_{NG}(q_{A},g_{\mu\nu})}$",,Ec 5-30,Cosmo
Action for vector-tensor theories,"$I=(16\pi G)^{-1}\int\left[R+wK_{\mu}K^{\mu}R+nK^{\mu}K^{\nu}R_{\mu\nu}-\varepsilon F_{\mu\nu}F^{\mu\nu}+\tau K_{\mu;\nu}K^{\mu;\nu}\right]\left(-g\right)^{\frac{1}{2}}d^{4}x+I_{NG}(q_{A},g_{\mu\nu})$,
where $F_{\mu\nu}=K_{\nu;\mu}-K_{\mu;\nu}$",,Ec 5-45,Action
Action Rosen Bimetric theory,"$I=-(16\pi G)^{-1}\int\eta^{\mu\nu}g^{\alpha\beta}g^{\gamma\delta}\left(g_{\alpha\gamma\mid\mu}g_{\beta\delta\mid\nu}-\frac{1}{2}g_{\alpha\beta\mid\mu}g_{\gamma\delta\mid\nu}\right)\times\left(-\eta\right)^{\frac{1}{2}}d^{4}x+I_{NG}(q_{A},g_{\mu\nu})$",,Ec 5-67,Action
Action Rastall Bimetric theory,"$I=-(16\pi G)^{-1}\int F(N)K^{\mu;\nu}K_{\mu;\nu}\left(-g\right)^{\frac{1}{2}}d^{4}x+I_{NG}(q_{A},g_{\mu\nu})$",,Ec 5-73,Action
Action BSLL Bimetric theories,"$I=-(16\pi)^{-1}\int\left(aB^{\mu\nu\mid\alpha}B_{\mu\nu\mid\alpha}+fB_{,\alpha}B^{,\alpha}\right)\left(-n\right)^{\frac{1}{2}}d^{4}x+I_{NG}(q_{A},g_{\mu\nu})$",,Ec 5-82,Action
Action for stratified theories,"$I=(8\pi)^{-1}\int\left[e^{-1}K^{\mu\mid\nu}K_{\mu\mid\nu}-\phi_{,\mu}\phi^{,\mu}-\left[f_{3}\left(\phi\right)+1\right]\left(\phi_{,\mu}t^{,\mu}\right)^{2}+\kappa_{1}B^{\mu\nu\mid\alpha}B_{\mu\nu\mid\alpha}+\kappa_{2}B_{\mid\nu}^{\mu\nu}\phi_{,\mu}\right]\left(-n\right)^{\frac{1}{2}}d^{4}x+I_{NG}(q_{A},g_{\mu\nu})$",,Ec 5-93,Action
$h$: Flat Metric tensor,"A symmetric tensor field of type $(2,0)$. h is defined on de cotangent space $T_{p}^{*}\times T_{p}^{*}$ and has signature $<3,0,1>$. It induces a three-dimensional metric on each hypersurface.",$h^{ab}$Flat Metric tensor,h,Action
$dt$: Time function,Co vector that induces a foliation of M into three-dimensional hyper surfaces.,$t_{a}$,dt,GO
"$h(dt,w)=0$",Describes Euclidean Geometry,$t_{a}h^{ab}=0$,"h(dt,w)=0",GO
$V$: Contra vector field  ,"Describes absolute space
$T_{\sigma}=V$ along $\sigma$",,V,Cond
$\overline{D}(V)=0$,"Covariant Derivative of $V=0$ makes the lines
in the rigging of space-time to be geodesics",,D(V)=0,GO
$dt(V)=1$,"Derivative of $V=0$ makes the lines
in the rigging of space-time to be timelike.",,dt(V)=1,Cond
$\overline{D}(dt)=0$,Covariant derivative = 0 assures the simultaneity slices are flat.,$\nabla_{a}t_{b}=0$,D(dt)=0,Cond
$\overline{D}(h)=0$,Covariant Derivative of h describes Euclidean Geometry,$\nabla_{a}h^{bc}=0$,D(h)=0,Cond
Signature,for the metric tensor: definite-positive,,Not-definite-positive,Cond
Signature,"for the metric tensor: Not definite positive $<1,3>$",,"<1,3>",Tip
$\overline{D}(g)=0$,Condition that preserves angles and distances when parallel transporting along a curve.,,D(g)=0,Tip
$G^{a}$: Gravitational field,A space-like vector field that represents the gravitational field,$G^{a}$: Gravitational field,Ga,Cond
Universal force:  $mD_{T\sigma}T_{\sigma}=m(grad(\Phi))$,particles acted on only by gravitational forces follow non geodesic paths determined by the gravitational potential,,2nd Law,GO
$(dt\otimes K)_{1a2}$= 0,,,(dt ⊗ K)= 0,MovEq
"$H_{*}^{2}K(w,v,X,Y)=H_{*}^{2}K(v,w,Y,X)$",,,H2*K=H2*K,Cond
Poisson’s Eq: $del(\Phi)=4\pi k\rho$,,Poisson’s Eq: $\nabla_{a}G^{a}=-4\pi\rho$,Poisson Eq,Cond
$Ric=-4\pi\rho dt\otimes$$dt$,Equivalent to Poisson’s Eq.,$\widetilde{R}_{bc}=4\pi\rho t_{b}t_{c}$,Field. Eq. 2,FieldEq
Locality,Matter is a point function,,Local,Cons
Non-locality,Matter is a function of density,,Non-local,Cond
Metric General Action,"$S=\int\left[k_{1}F\left(R,\mathcal{L_{M}}\right)+k_{2}\mathcal{L_{M}}\right]\sqrt{-g}d^{4}x$",,General Action,Action
Palatini General Action,"$S=\int\left[k_{1}F\left(\Re,\mathcal{L_{M}}\right)+k_{2}\mathcal{L_{M}}\right]\sqrt{-g}d^{4}x$",,General Action Palatini,Action
Coupling constant,$k_{1}=\frac{c^{3}}{16\pi G}$,,k1=c3/16piG,Cond
Coupling constant,$k_{2}=\frac{1}{c}$,,k2=1/c,Cond
Field Equation for Mond local pure Metric,$F_{R}R_{\alpha\beta}+\left(g_{\alpha\beta}\nabla^{\mu}\nabla_{\mu}-\nabla_{\alpha}\nabla_{\beta}\right)F_{R}-\frac{1}{2}\left(F-F_{\mathcal{\mathcal{L}}}\right)g_{\alpha\beta}=\frac{1}{2}F_{\mathcal{L}}T_{\alpha\beta}$,,Eq 4,FieldEq
Field Equation for Mond non local Palatini,$f'(\chi)\chi_{\mu\nu}-\frac{1}{2}f(\chi)g_{\mu\nu}=\frac{8\pi GL_{M}^{2}}{c^{4}}T_{\mu\nu}$,,Eq 8,FieldEq
Field Equation for Mond non local pure Metric,$\left(\frac{f_{R}}{L_{M}^{2}}\right)R_{\mu\nu}-\frac{1}{2L_{M}^{2}}fg_{\mu\nu}+\left[g_{\mu\nu}\Delta-\Delta_{\mu}\Delta_{\nu}\right]\left(\frac{f_{R}}{L_{M}^{2}}\right)=\frac{8\pi G}{c^{4}}T_{\mu\nu}-\left(\frac{f}{L_{M}^{2}}\right)_{T}\left[T_{\mu\nu}+\varTheta_{\mu\nu}\right]$,,Eq 14,FieldEq
"Field equation for Mond local F(R,T)",(Pending),,Pending Eq 1,FieldEq
The action is a function of the Ricci scalar and the trace of the energy momentum tensor,"F(R,T)",,"F(R,T)",Action
The action is a function of the affine Ricci scalar and the trace of the energy momentum tensor,"F(R*,T)",,"F(R*,T)",Action
The action is a function of the Ricci scalar and the matter Lagrangian,"F(R,Lm)",,"F(R,Lm)",Action
The action is a function of the affine Ricci scalar and the matter Lagrangian,"F(R*,Lm)",,"F(R*,Lm)",Action
Equation of motion for Mond local pure metric,$\frac{dx^{\mu}}{ds^{2}}+\Gamma_{\nu\alpha}^{\mu}\frac{dx^{\mu}}{ds}\frac{dx^{\alpha}}{ds}=\left(g_{\mu\nu}-u_{\mu}u_{\nu}\right)\nabla^{\mu}ln\left[\left(16\pi\kappa\kappa'+f_{\xi}\right)\frac{d\mathcal{L}}{d\rho}\right]$,,Eq 34 and 35,MovEq
Equation of motion for Mond non local Palatini,(Pending),,Pending Eq 2,MovEq
Equation of motion for Mond non local pure metric,"$\nabla^{\mu}T_{\mu\nu}=\left(\frac{f}{L_{M}^{2}}\right)_{T}\left\{ \frac{8\pi G}{c^{4}}-\left(\frac{f}{L_{M}^{2}}\right)_{T}\right\} ^{-1}\times\left[\left(T_{\mu\nu}+\Theta_{\mu\nu}\right)\nabla^{\mu}ln\left(\frac{f}{L_{M}^{2}}\right)_{T}\left(R,T\right)+\nabla^{\mu}\theta_{\mu\nu}\right]$",,Eq 18Mond,MovEq
"Equation of motion for Mond F(R,T)",(Pending),,Pending Eq 3,MovEq
Medoza’s tensor $\chi_{\mu\nu}:=L_{M}^{2}R_{\mu\nu}$,Where L_{M}^{2} defines a length fixed by the parameters of the theory,,Xi3/2,GO
Milgrom’s constant $a_{0}\approx1.2\times10^{-10}m/s^{2}$,Acceleration scale,,a0,ElemDis
