Attribute|Class|Title|Formula|Explanation|Reference
Eq 47|FieldEq|Field Equation|$\frac{1}{\sqrt{-g}}\left[-\bar{\nabla}_{\lambda}\left(\sqrt{-g}f'(\Re)g^{\mu\nu}\right)+\bar{\nabla}_{\sigma}\left(\sqrt{-g}f'(\Re)g^{\mu\sigma}\right)\delta_{\lambda}^{\nu}\right]+2f'(\Re)(g^{\mu\nu}S_{\lambda\sigma}^{\sigma}-g^{\mu\rho}S_{\rho\sigma}^{\sigma}\delta_{\lambda}^{\nu}+g^{\mu\sigma}S_{\sigma\lambda}^{\nu})=\kappa(\Delta_{\lambda}^{\mu\nu}-B_{\lambda}^{[\mu}\delta^{\nu]})$|Field equation after varying independently with respect to the connection.|
Eq 48|FieldEq|Field Equation|$S_{\mu\sigma}^{\sigma}=0$|Field equation after varying independently with respect to the Lagrange multiplier.|
Eq 6|FieldEq|Field equation of metric  $f(R)$|$f'(R)R_{\mu\nu}-\frac{1}{2}f(R)g_{\mu\nu}-\left[\nabla_{\mu}\nabla_{\nu}-g_{\mu\nu}\nabla^{\mu}\nabla_{\mu}\right]f'(R)=\kappa T_{\mu\nu}$||
Eq 9a|FieldEq||$R_{\mu\nu}=0$|If the Ricci scalar $R=0$, then the field equation reduces to $R_{\mu\eta}=0$.|
Eq 9b|FieldEq||$R_{\mu\nu}=g_{\mu\nu}\frac{C}{4}$|If the Ricci scalar $R=const.$, then the field equation reduces to $R_{\mu\nu}=g_{\mu\nu}\frac{C}{4}$, and the maximally symmetric solution is de Sitter or anti-de Sitter space depending on the sign of the constant.|
Eq 9c|FieldEq||$R_{\mu\nu}=-g_{\mu\nu}\frac{C}{4}$|If the Ricci scalar $R=cte$, then the field equation reduces to $R_{\mu\nu}=g_{\mu\nu}\frac{C}{4}$, and the maximally symmetric solution is de Sitter or anti-de Sitter space depending on the sign of the constant.|
Affine Connection|GO|$\Gamma$: Affine connection||A generalised connection for vector fields in curved spaces where torsion and non-metricity are not necessarily zero, telling us about straitest curve.|
Hyp|GO|Hypermomentum|$\Delta_{\lambda}^{\mu\nu}\equiv-\frac{2}{\sqrt{-g}}\frac{\partial S_{M}}{\partial\Gamma_{\mu\nu}^{\lambda}}$,|A quantity representing the variation of SM with respect to the connection, which mimics the definition of the stress-energy tensor. |
Metric Affine Connection|GO|$\Gamma*$: Metric-Affine connection||A connection for Metric-affine spaces where non-metricity and torsion are not zero.|
Metric Connection|GO|$\left\{ _{\mu\nu}^{\lambda}\right\} $: Metric connection||Also called Levi-Civita connection, it is dependent on the metric $g$. It gives us information about how to transport vectors along a curve, while conserving the metric.|
Metric Tensor|GO|$g_{\mu\nu}$: Metric tensor||A symmetric tensor field of type $(0,2)$ and signature $<1,3>$. Provides a sense of distance and angles between vectors telling us about shortest curve.|
Non Metricity|GO|Non metricity tensor|$Q_{\mu\nu\lambda}\equiv-\widetilde{\nabla}_{\mu g\nu\lambda}$,|It measures the failure of the connection to covariantly conserve the metric.|
Psi|GO|$\psi$: Matter fields|||
R*|GO|$\Re$: Affine Ricci scalar|$\Re=g^{\mu\nu}\Re_{\mu\nu}$||
Ricci Scalar|GO|$R$:Ricci scalar|$R=g^{\mu\nu}R_{\mu\nu}$||
Tmn|GO|$T$: Stress-Energy-Momentum tensor field||Symmetric tensor field $(2,0)$.|
Torsion|GO|Cartan torsion tensor|$S_{\mu\nu}^{\lambda}\equiv\Gamma_{\left[\mu\nu\right]}^{\lambda}$|The anti-symmetric part of the connection.|
Weyl Vector|GO|Weyl vector|$Q_{\mu}\equiv\frac{1}{4}Q_{\mu\nu^{\nu}}$|The Weyl vector is the trace of the non-metricity tensor with respect to its last two (symmetric) indices.|
M|M|M: Differentiable manifold||A topological space that resembles euclidean space near each point. It can be coordinatized by Rn through a family of homeomorphisms.|
Geodesic Law|MovEq|Geodesic Law|$D_{T\sigma}T_{\sigma}=0$|Free particles follow timeline geodesics of the connection.|
Dependent|Typ|Dependency||The connection $\Gamma_{\mu\nu}^{\lambda}$  and the metric tensor $g_{\mu\nu}$  depend on each other.|
Independent|Typ|Independency between variables||The connection $\Gamma_{\mu\nu}^{\lambda}$ may be expressed independently of the metric tensor $g_{\mu\nu}$.|
N|Typ|Dimension: $N=4$||The dimension of a vector space is the cardinality of a base of $M$.|
Not-Definite-Positive|Typ|Signature||for the metric tensor: Not-definite-positive $<-,+,+,+>$ or $<+,-,-,->$.|
