Attribute|Class|Title|Formula|Explanation|Reference
EM Fields|Family|Electromagnetic fields||$\Phi$ is a nonempty set.<br>Every $\Phi$ is an e.m. field.|Bunge, 1967, CEM 1.1
Energy-momentum Tensor|Family|Energy-momentum-stress tensor||$\mathrm{T}$ is a contravariant symmetric tensor field on $V\subset M^{4}$.<br>$\mathrm{T}$ represents the energy, momentum and stress of all the systems $\bar{\sigma}\in\bar{\Sigma}$ in $V$.|Bunge, 1967, GR 5.1
External Force|Family|External force||Every $F^{e}\in\left\{ F^{e}\right\}$ is a real valued vector on $\Sigma\times K\times E^{3}\times T$.<br>The value of $F^{e}$ at any given 6-ple $\left\langle \sigma,k,x,t\right\rangle $ represents the external force acting on $\sigma$, relative to the frame $k$, at the place $x$ and the instant $t$.|Bunge, 1967, PM 3.3
Interparticle Force|Family|Inter-particle force||Every $F^{i}\in\left\{ F^{i}\right\} $ is a real valued vector on $\Sigma\times\Sigma\times K\times E^{3}\times T$.<br>The value of $F^{i}$ at any given 7-ple $\left\langle \sigma,\sigma',k,x,t\right\rangle $ represents the force extended by $\sigma'$ on $sigma$ relative to $k$ at $x$ and $t$.|Bunge, 1967, PM 3.4
M Bodies|Family|Bodies||$\left\{ \beta\right\} $ is a nonempty family of point sets.<br>Every $b\in B$ is a 3-dimensional differentiable manifold.<br>For every $\sigma\in\Sigma$ there exists a $b\in\beta$ such that $b\hat{=}\sigma$ pointwise.|Bunge, 1967, CM 1.2
Magnetic Fields|Family|Magnetic field intensity||Every $\left\{ B\right\} $ is a non empty family of fields. Every $B\in\left\{ B\right\} $ real pseudovector valued function on  $\Phi\times M^{3}\times T$.<br>$B(\phi,x,t)$ represents the intensity of the magnetic component of $\phi$ at $x$,$t$.|Bunge, 1967, CEM 1.7
Mass|Family|Mass||$M$ Is a function from $\Sigma$ to the set $\mathbb{R^{+}}$ of non-negative reals.<br>The value of $M$ in $\sigma,\in\Sigma$ represents the mass (inertia) of $\sigma$.|Bunge, 1967, PM 3.1
Mass Density|Family|Body density||Every $\varrho\in\left\{ \varrho\right\} $ is a bounded and continuous function from $\beta$ to the set of nonnegative reals.<br>If $b\hat{=}\sigma$, then $\varrho(b,x,t)$ represents the mass density of $\varrho$ at $x$,$t$.|Bunge, 1967, CM 1.5
PM 2.4|Family|Events and trayectory of motion||For every $\sigma\in\Sigma$, and every $k\in K$, every $X\in\left\{ X\right\} $ is a continuous and real valued function from $T$ to $E^{3}$.<br>For every $\sigma\in\Sigma$ and every  $k\in K$, $\dot{X}$ is a piece-wise continuous and real valued function from $T$ to $E^{3}$.<br>$X(\sigma,k,t)$ represents the position of $\sigma$, relative to the frame $k$ at the instant $t$.<br>Every quintuple $\left\langle \sigma,X_{1},X_{2},X_{3},t\right\rangle $ represents an event.<br>For any given $\sigma\in\Sigma $ and any given $k\in K$, the set $\left\{ X(\sigma,k,t)\mid t\in T\right\} $represents a trajectory (motion) of $\sigma$.|Bunge, 1967, PM 2.4
Velocity and Acceleration|Family|Velocity and acceleration||The derivatives $\dot{X}$ and $\ddot{X}$ exist and are bounded for every $X\in\left\{ X\right\} $, every $\beta\in b$, every $k\in K$ and every $t\in T$.<br>If $\beta\hat{=}\pi$ and $\pi\dot{\in}\sigma$, then $\dot{X}(\beta,k,t)$ and $\ddot{X}(\beta,k,t)$ represent the velocity and the acceleration respectively of the particle $\pi$ in the body $\sigma$ relative to the frame at time $t$.|Bunge, 1967, CM 2.3
{XGR}|Family|{XGR}: Position of a point system||For every $i=1,2,3$, $\left\{ X_{i}\right\} $ is a nonempty family of functions.<br>Every $X_{i}\in\left\{ X_{i}\right\} $ is a function from $\overline{\Sigma}\times K\times T$ to $\mathbb{R}$, continuous w.r.t. $t$.<br>$X(\bar{\sigma},k,t)$ represents the position of a point system $\bar{\sigma}\in\bar{\Sigma}$, referred to $k$, at the instant $t$ relative to $k$.|Bunge, 1967, GR 4.2
{XR}|Family|Position of a system||$\left\{ X\right\} $ is a nonempty family of functions.<br>Every $X\in\left\{ X\right\} $ is a function from $\Sigma\times I\times T$ to $R^{3}$.<br>$X\left(\sigma,i,t\right)$ represents the position of a point system $\sigma\subset\Sigma$, referred to the frame $\tau$, at the instant $t$ relative to $\tau$.<br>For every point event there exists a septuple $\left\langle \sigma,s,\tau,X_{0},X_{1},X_{2},X_{3}\right\rangle \hat{=}$ event.|Bunge, 1967, SR 6
{X}|Family|Position of a particle||$X$ is continuous and bounded for every $\beta$, $k$, and $t$.<br>$X(\beta,k,t)$ represents the place (location) of the particle $\pi$ of the body $\sigma$, relative to the frame $k$ at the instant $t$.|Bunge, 1967, CM 1.3
Einstein’s Eq|FieldEq|Einstein’s field equation|$G_{1}^{*}G_{2}^{*}Ric-\frac{1}{2}Rg^{*}=-8\pi kT$|For every $x\in V$, every $\sigma\in\Sigma$, every $\bar{\sigma}\in\bar{\Sigma}$ and every $\mathrm{T\in\left\{ \mathrm{T}\right\} }$, there is a $g\in\{g\}$ such that<br>$G=\kappa\mathrm{T}$.|Bunge, 1967, GR 6.2
Force Density|FieldEq|Force density||The force density exerted by an external field $\left\langle E,B\right\rangle \hat{=}\varphi\in\Phi$ on $\sigma\in \Sigma$ is<br>$f=\rho\left(E+\frac{v}{c}\times B\right)$.|Bunge, 1967, CEM 3, 4.3
Maxwell’s Eq|FieldEq|Maxwell’s equations||At any point $x\in M^{3}$ and any instant $t\in T$ for every field<br>$varphi\in \Phi$ and every charged body<br>$\sigma\in \Sigma$, there exists a<br>$k\in K$ such that<br>$\nabla\times E=-\frac{1}{c}\frac{\partial B}{\partial t}$, $\nabla\cdot B=0$<br>$\nabla\times B=-\frac{1}{c}\frac{\partial E}{\partial t}+\frac{4\pi}{c}j$, $\nabla\cdot E=4\pi\varrho$.|Bunge, 1967, CEM 2
Inertial Frame|Frames|Inertial reference frames||$I\neq\emptyset\land I\subset\Sigma-S$.<br>Every $i\in I$ is an inertial reference frame.<br>For every $i\in I$ there is a basis $e=\left\langle e_{1},e_{2}.e_{3}\right\rangle $ such that $e\hat{=}i$.|Bunge, 1967, SR 3
K|Frames|Physical reference frames||$K$ is a nonempty denumerable set.<br>Every $k$ is a rigid system of corpuscles at least four of which lie on the vertices of a regular trihedral.<br>For every $k$ there exists a Cartesian system of axes $e=\left\langle e_{1},e_{2}.e_{3}\right\rangle $ such that $e\hat{=}k$.<br>No $k$ interacts with any $\sigma\subset\Sigma$ that is not a part of $k$.<br>The configuration of every $k\in K$ is time-independent.|Bunge, 1967, PM 2.3, CM 2.1, GR 4.1
Metric Tensor|GO|$g_{\mu\nu}$: Metric tensor||$\left\{ g\right\} $ is a nonempty family of symmetric tensor fields, of valence (0,2), on $M^{4}$.<br>The components of $g$ and their first and second derivatives w.r.t. the $x^{\mu}$ are real valued and bounded in every $V\subset M^{4}$ with the possible exception of a proper subset of $V$.<br>$M^{4}$ is endowed with a metric $ds^{2}=g_{\mu\nu}dx^{\mu}dx^{\nu}$ with $\mu,\nu=0,1,2,3$.|Bunge, 1967, GR 3.1
Balance of Momentum|MovEq|Law of balance of momentum||For every $\sigma\in\Sigma$, $t\in T$, every $\varrho\in\left\{ \varrho\right\} $, every $f_{b}\in\left\{ f_{b}\right\} $ and every $\mathrm{T\in\left\{ \mathrm{T}\right\} }$, there exists a $k\in K$ such that $\dot{p}=F$.|Bunge, 1967, CM 3.3
F = ma|MovEq|Newton’s laws||For every $\sigma,\sigma'\in\Sigma$, every $t\in T$, every $F^{e}\in\left\{ F^{e}\right\} and every $F^{i}\in\left\{ F^{i}\right\}, there is at least one $k\in K$ such that<br>$\dot{p}(\sigma,t,k)=F^{e}(\sigma,t,k)+\underset{\sigma’\neq\sigma}{\sum}F^{i}(\sigma,\sigma’,t,k)$<br>and<br>$F^{i}(\sigma,\sigma’,t,k)=-F^{i}(\sigma’,\sigma,t,k)$.|Bunge, 1967, PM 3.5
Moment of Momentum|MovEq|Law of moment of momentum||For every $\sigma\in\Sigma$, every $t\in T$,every $\varrho\in\left\{ \varrho\right\} $, every $f_{b}\in\left\{ f_{b}\right\} $, and every $\mathrm{T\in\left\{ \mathrm{T}\right\} }$, there exists a $k\in K$ such that $\dot{L}=N$.|Bunge, 1967, CM 3.4
Bodies|Referents|Bodies||$\Sigma$ is a nonempty denumerable set.<br>Every $\Sigma$ is a body.|Bunge, 1967, CM 1.1
Charged Bodies|Referents|Charged bodies||$\Sigma$ is a nonempty set.<br>Every $\Sigma$ is a charged body.|Bunge, 1967, CEM 1.2
EM Signals|Referents|Electromagnetic signals||$S\neq\emptyset$ and $S\subset\Sigma$.<br>Every $s\in S$ represents an electromagnetic signal.|Bunge, 1967, SR 2
Gravitational Fields|Referents|Gravitational fields||$\Sigma$ is a nonempty set.<br>Every $\Sigma$ represents a gravitational field.|Bunge, 1967, GR 1.1
Non Gravitational Fields|Referents|Physical entities other than gravitational fields||$\overline{\Sigma}$ is a nonempty set disjoint from sigma.<br>Every $\overline{\Sigma}$ represents a physical system other than  a gravitation field.|Bunge, 1967, GR 1.2
Particles|Referents|Point particles||$\Sigma$ is a nonempty denumerable set.<br>Every $\Sigma$ is a particle.|Bunge, 1967, PM 2.1
Physical Systems|Referents|Physical system (material or not)||$\Sigma\neq\emptyset$.<br>Every $\sigma\subset\Sigma$ represents a physical system.|Bunge, 1967, SR 1
Coordinate Transformations|Transformation|Coordinate transformations||All coordinate transformations in $M^{4}$ are bijective maps.<br>The Jacobian of every coordinate transformation vanishes nowhere.<br>Areas and volumes should not vanish upon coordinate transformations, for otherwise things themselves would appear to vanish by sheer paper and pencil operations.<br>(Bunge, 1967, GR 2.2).|Bunge, 1987, GR 2.2
Map|Transformation|Transformation|$X:b¬C$|For every $X\in\left\{ X\right\}$, every $b\in\beta$ and every $t\in T$, the map $X:b\rightarrow C$ is 1:1, onto and continuous.<br>For every $X\in\left\{ X\right\}$, every $b\in\beta$ and every $t\in T$ the image $C=X(b,t)$ of $b$ under $X$ is a compact set with a piecewise continuous boundary $\partial X(b,t)$.<br>For every $\sigma\in\Sigma$ and $t\in T$ there exists an $X\in\left\{ X\right\} $ such that the image $X(b,t)$ of $b$ under $X$ represents the place occupied by the body sigma represented by $b$.<br>(Bunge, 1967, CM 1.4).|Bunge, 1967, CM 1.4
1/r|Typ|Postulate from empirical observation||$E$ and $B$ drop off with distance at least as fast as $\frac{1}{r}$.|Bunge, 1967, CEM 1.8
<1,3>|Typ|Signature|$<1,3>$|$g_{00}>0$ and $g_{ij}<0$ $(i,j, =1,2,3)$ everywhere.<br>$g_{ij}-(g_{0i}g_{0j}/g_{00})<0$ everywhere.<br>To ensure that $x^{0}$, or rather $(g_{00})^{\frac{1}{2}}\frac{x^{0}}{c}$, be a time coordinate and the others be space coordinates as required by GR 2.3.|Bunge, 1967, GR 3.2
Asymptotic Form|Typ|Asymptotic form||The components of $g$ approach constant values as the $x^{i}(i=1,2,3)$ tend to infinity.<br>The metric tensor, which solves the field equations, should represent an isolated system. Outside every $V\subset M^{4}$, the asymptotic forms of the components of $g$ are those of outgoing spherical waves.|Bunge, 1967, GR 3.3
CM 2.2|Typ|Equivalence class of representations||Let $X'=a+QX$, with $a$ and $Q$ functions of time, represent a change of frame. Then<br>If $V$ is a vector referring to $\pi\dot{\in}\sigma\in\Sigma$, which upon a change of frame becomes $V’=QV$, then $V’$ and $V$ refer to the same physical situation.<br>If $S$ is a 2nd rank tensor referring to $\pi\dot{\in}\sigma\in\Sigma$, which upon a change of frame becomes $S'=QS\tilde{Q}$, where $\tilde{Q}$ is the transposed of $Q$, then $S’$ and $S$ refer to the same physical situation.|Bunge, 1967, CM 2.2
GR 5.2|Typ|Tipification for components of T||The components of $\mathrm{T}$ are real valued functions of $\bar{\sigma}$, $k$, $X$ and $t$.<br>The components of $\mathrm{T}$ vanish outside $V$.|Bunge, 1967, GR 5.2
GR 6.3|Typ|Postulate||Two solutions of Einsteins’s equation which can be transformed into one another by an admissible coordinate transformation refer to the same field.|Bunge, 1967, GR 6.3
Mass Additivity|Typ|Mass additivity||For every $\sigma\in\Sigma$, if $b\hat{=}\sigma$ and $C$ is the image of $b$ under $X$, then $M$ is a Continuous function of the volume (Lebesgue measure) $\mu(b,t)$ of $b$ at $t$.<br>b) For any two distinct $\sigma,\sigma'\in\Sigma$, if $b\hat{=}\sigma$ and $b’\hat{=}\sigma’$, and $b\cup b'\hat{=}\sigma+\sigma'$, then $M(b\cup b')=M(b)+M(b')$.<br>c) If $b\hat{=}c$, then $M(b)$ represents the mass of $\sigma$.|Bunge, 1967, CM 1.6
Mass Conservation|Typ|Mass conservation||For every $\sigma\in\Sigma$, if $b\hat{=}\sigma$ and $C=X(b,t)$ and $C’ =X’(b)$ are two different configurations of $\sigma$ at a given time $t$, then the corresponding masses are the same: $M(\sigma)=\underset{X(b)}{\int}d^{3}x\varrho_{X}=\underset{X’(b)}{\int}d^{3}x\varrho_{X'}$|Bunge, 1967, CM 1.7
PM 2.5|Typ|Postulate: Position and velocity values uniquely identify a particle||For any two $\sigma,\sigma'\in\Sigma$ and every $k\in K$ and every $t’\in T$, if $X\left(\sigma,t,k\right)=X\left(\sigma',t,k\right)$ and $\dot{X}\left(\sigma,t,k\right)=\dot{X}\left(\sigma',t,k\right)$, then $\sigma=\sigma’$.<br>In words: the position and velocity values uniquely identify (characterize) a particle. Coordinates alone are insufficient for this: thus two different particles may be at the same place at the instant of collision but then they will have different (vector) velocities.|Bunge, 1967, PM 2.5
PM 3.2|Typ|The mass of a system of point particles equals the sum of the partial masses||If $\sigma_{i}\in\Sigma$ for every finite $i\in N$, then $M\left(\underset{i}{\dot{\sum}}\sigma_{i}\right)=\underset{i}{\sum}M(\sigma_{i})$.|Bunge, 1967, PM 3.2
Postulate|Typ|Postulate: Once a particle always a particle||For any two different $t$, $t'\in T$, ir $\sigma\in\Sigma$ at $t$, then $\sigma\subset\Sigma$ at $t’$.<br>This postulate is needed in order to warrant that predictions and retrodictions calculated for a $Sigma$ on laws of motion and initial conditions will still refer to $Sigma$.|Bunge, 1967, PM 2.2
Tensor Degeneration|Typ|Tensor degeneration||When the constitutive tensor degenerates into $(\epsilon,\mu^{-1})$, the field equations become $\nabla\times E=-\frac{1}{c}\frac{\partial B}{\partial t}$, $\nabla\cdot B=0$,<br>$\nabla\times H=-\frac{1}{c}\frac{\partial D}{\partial t}+\frac{4\pi}{c}j$, $\nabla\cdot D=4\pi\rho$.|Bunge, 1967, p. 
