Attribute|Class|Title|Formula|Explanation|Reference
Conexión Métrico-Afín|GO|$\Gamma*$: Conexión afín independiente||Una conexion para espacios métrico-afines donde la no-metricidad y la torsión son distintas de cero.|
Conexión Newton-Cartan|GO|$\nabla$: Conexión Newton-Cartan||Conexión plana covariante.|Friedman, 1983, p. 
Conexión Plana|GO|$\overline{\nabla}$: Conexión plana||Derivada para espacios planos.|
dt|GO|$dt$: Función de tiempo||Un covector que induce una foliación de la variedad M en hyper-superficies de tres dimensiones.|Friedman, 1983, p. 78
Escalar de Ricci|GO|$R$: Escalar de Ricci|$R=g^{\mu\nu}R_{\mu\nu}$|$R=g^{\mu\nu}R_{\mu\nu}$|
eta|GO|$\eta$: Métrica de Minkowski||Métrica plana no dinámica. Dado que $Riem(\gamma)=0$, siempre podemos elegir coordenadas globales en las que $\eta_{\mu\nu}=diag(-1,1,1,1)$|
h|GO|$h$: Tensor métrico plano||Un campo tensor simétrico de tipo $(2,0)$. h se define en el espacio cotangente $T_{p}^{*}\times T_{p}^{*}$ y tiene la signatura $<3,0,1>$. Induce una métrica tridimensional en cada hipersuperficie.|Friedman, 1983, p. 78, 88, 101
No-Metricidad|GO|Tensor de no-metricidad|$Q_{\mu\nu\lambda}\equiv-\widetilde{\nabla}_{\mu g\nu\lambda}$,|Mide la falla de la conexión de conservar de forma covariante la métrica.|
Tensor Métrico|GO|$g$: Tensor métrico||Un campo tensorial simétrico de tipo $(0,2)$. Provee una noción de distancia y ángulo entre vectores. Nos habla de la curva más corta.|
Tmn|GO|$T$: Campo tensorial de Estrés-Energía-Momentum||Campo tensorial simétrico $(2,0)$.|
Torsión|GO|Tensor de torsión de Cartan|$S_{\mu\nu}^{\lambda}\equiv\Gamma_{\left[\mu\nu\right]}^{\lambda}$|La parte antisimétrica de la conexión.|
V|GO|$V$: Campo contravectorial||Describe el espacio absoluto. $T_{\sigma}=V$ a lo largo de $\sigma$|
Φ|GO|$\Phi$: Potencial gravitacional||Potencial producido por un campo vectorial tipo espacio que representa el campo gravitacional.|Friedman, 1983, p. 93
M|M|$M$: Variedad diferenciable||Un espacio topológico que asemeja el espacio euclidiano en las vecindades de cada punto. Puede coordinatizarse por $R^{n}$ mediante una familia de homomorfismos.|
Fuerza Gravitacional|MovEq|Fuerza Gravitacional|$mD_{T\sigma}T_{\sigma}=m(grad(\Phi))$|Las partículas afectadas sólo por fuerzas gravitacionales siguen curvas no geodésicas determinadas por el potencial gravitacional.|
Ley Geodésica|MovEq|Ley Geodésica|$D_{T\sigma}T_{\sigma}=0$|Las partículas libres siguen las geodésicas de la línea tipo tiempo de la conexión.|
<1,3>|Typ|Signatura del tensor métrico|$<1,3>$|La signatura contiene un índice positivo y tres negativos. Hay modelos con signatura distinta.|
<3,0,1>|Typ|Signatura del tensor plano h|$<3,0,1>$|La signatura indica que tres índices son positivos y un negativo.|
N|Typ|Dimensión: $N=4$||La dimensión de un espacio vectorial es la cardinalidad de una base para la variedad diferenciable M.|
Signatura no toda Positiva|Typ|Signatura no toda positiva||Para el tensor métrico: no definitivamente positiva: $<-,+,+,+>$ o $<+,-,-,->$|
