Independent,Explanation,Dependent,Atributo,Clase
$f’'(\Re)\neq 0$,La segunda derivada de la función del escalar de Ricci afín es distinta de cero.,$f''(\Re)\neq0$,f’’(R*) ≠ 0,Cond
$T_{\mu\nu}\rightarrow0$: Polvo,El tensor de Estrés-energía-momentum es prácticamente cero:  para modelos de polvo.,,T = 0,Cond
$\eta$: Métrica de Minkowski,"Métrica plana no dinámica. Dado que $Riem(\gamma)=0$, siempre podemos elegir coordenadas globales en las que $\eta_{\mu\nu}=diag(-1,1,1,1)$",,eta,GO
$Riem(\Gamma)=0$,Riemann’s curvature tensor of the affine connection is zero. $K=0$. It is one of Trautman’s homogenous condition.,,K = 0,Cond
$cte<0$,"El escalar de Ricci es constante y negativo en todos los puntos.
K:Tp¬Tp",,Cte < 0,Cond
$cte>0$,"El escalar de Ricci es constante y positivo en todos los puntos.
K:Tp¬Tp",,Cte > 0,Cond
"$S_{M}=S_{M}(g_{\mu\nu},\psi)$",Término de materia.,"SM = SM ( g𝞵𝞶, 𝚪𝞴𝞵𝞶 ,𝞧 )",SM1,Action
"$S_{M}=S_{M}(g_{\mu\nu},\Gamma_{\mu\nu}^{\lambda},\psi)$",Término afín de materia.,"SM = SM ( g𝞵𝞶, 𝚪𝞴𝞵𝞶 ,𝞧 )",SM2,Action
"$S_{met}=\frac{1}{2\kappa}\intop d^{4}x\sqrt{-g}f(R)+S_{M}(g_{\mu\nu},\psi)$",Acción total para una $f(R)$ métrica.,"Smet = 1/2𝞳 ∫d4x√-g f(R) + SM(g𝞶𝞵, 𝞧)",Ec. 5,Action
$S_{pal}=\frac{1}{2\kappa}\intop d^{4}x\sqrt{-g}f(\Re)+S_{M}$,Acción a la Palatini (la métrica y la conexión son independientes; no se varía con respecto a la conexión). Note que el nuevo tensor de Ricci está construído con una conexión independiente $\Re=g_{\mu\nu}R_{\mu\nu}$,"Spal = 1/2𝞳 ∫d4x√-g f(𝓡) + SM(g𝞶𝞵, 𝞧)",Ec. 13,Action
$f'(R)R_{\mu\nu}-\frac{1}{2}f(R)g_{\mu\nu}-\left[\nabla_{\mu}\nabla_{\nu}-g_{\mu\nu}\nabla^{\mu}\nabla_{\mu}\right]f'(R)=\kappa T_{\mu\nu}$,Ecuación de campo de la teoría $f(R)$ métrica.,f’(R)R𝞵𝞶-1/2f(R)g𝞵𝞶 - [∇𝞵∇𝞶-g𝞵𝞶☐] f’(R) = 𝞳T𝞵𝞶,Ec. 6,FieldEq
$R_{\mu\nu}=0$,"Si el escalar de Ricci es igual a cero: $R=0$, entonces la Ec. de campo se reduce a: $R_{\mu\eta}=0$",R𝞵𝞶 = 0,Ec. 9a,FieldEq
$R_{\mu\nu}=g_{\mu\nu}\frac{C}{4}$,"Si el escalar de Ricci es constante: $R=cte$, entonces la ecuación de campo se reduce a: $R_{\mu\nu}=g_{\mu\nu}\frac{C}{4}$, y la solución simétrica máxima es el espacio de de Sitter ó el anti-de Sitter, dependiendo del signo de la constante.",R𝞵𝞶=g𝞵𝞶C/4,Ec. 9b,FieldEq
$R_{\mu\nu}=-g_{\mu\nu}\frac{C}{4}$,"Si el escalar de Ricci es constante: $R=cte$, entonce la ecuación de campo se reduce a $R_{\mu\nu}=g_{\mu\nu}\frac{C}{4}$, y la solución simétrica máxima es de un espacio de Sitter ó anti-de Sitter dependiendo del signo de la constante.",$R_{\mu\nu}=-g_{\mu\nu}\frac{C}{4}$,Ec. 9c,FieldEq
$f'(\Re)\Re_{\mu\nu}-\frac{1}{2}f(\Re)g_{\mu\nu}=\kappa T_{\mu\nu}$,Ecuación de campo de la teoría a la Palatini,f’(R)R𝞵𝞶-1/2f(R)g𝞵𝞶 = 𝞳GT𝞵𝞶,Ec. 18,FieldEq
$\bar{\nabla}_{\lambda}(\sqrt{-g}f'(\Re)g^{\mu\nu})=0$,Ecuación de campo de la teoría a la Palatini $\bar{\nabla}$ es la derivada covariante definida con la conexión independiente o métrico-afín.,∇*𝝀( √-g f’(R) g𝞵𝞶) = 0,Ec. 19,FieldEq
Ecuación de Einstein: $G_{1}^{*}G_{2}^{*}Ric-\frac{1}{2}Rg^{*}=-8\pi kT$,La materia le dice al espacio cómo curvarse y el espacio le dice a la materia cómo moverse.,,Ec. de Einstein,FieldEq
"Hypermomentum: $\Delta_{\lambda}^{\mu\nu}\equiv-\frac{2}{\sqrt{-g}}\frac{\partial S_{M}}{\partial\Gamma_{\mu\nu}^{\lambda}}$,","Una cantidad que representa la variación de SM con respecto a la conexión, lo que reemplaza a la definición del tensor de estrés-energía-momentum.",,Hyp,GO
Curvatura,Tensor de curvatura de Riemman,,Curvatura,GO
"Tensor de No metricidad: $Q_{\mu\nu\lambda}\equiv-\widetilde{\nabla}_{\mu g\nu\lambda}$,",Mide el fallo de la conexión de conservar la métrica de forma covariante.,,No-metricidad,GO
"$Q_{\mu\nu\lambda}=0$,",Condición de homogeneidad de Trautman,,No-metricidad = 0,Cond
"Vector de Weyl: $Q_{\mu}\equiv\frac{1}{4}Q_{\mu\nu^{\nu}}$,",Es la traza del tensor de no-metricidad con respecto a sus últimos dos índices simétricos.,,Vector de Weyl,GO
Vector de Weyl: $Q_{\mu}=0$,La traza del tensor de no metricidad con respecto a sus dos últimos índices (simétricos),,Vector de Weyl = 0,Cond
Tensor de Torsión de Cartan: $S_{\mu\nu}^{\lambda}\equiv\Gamma_{\left[\mu\nu\right]}^{\lambda}$,La parte antisimétrica de la conexión.,,Torsión de Cartan,GO
$S_{\mu\nu}^{\lambda}=0$,Condición de homogeneidad de Trautman $\widetilde{R}_{bd}^{ac}=\widetilde{R}_{db}^{ca}$,,Torsión de Cartan = 0,Cond
Ecuación de Campo,$f'(\Re)\Re_{(\mu\nu)}-\frac{1}{2}f(\Re)g_{\mu\nu}=\kappa T_{\mu\nu}$,,Ec. 46,FieldEq
Ecuación de Campo,$\frac{1}{\sqrt{-g}}\left[-\bar{\nabla_{\lambda}\left(\sqrt{-g}f'(\Re)g^{\mu\nu}\right)+\bar{\nabla}_{\sigma}\left(\sqrt{-g}f'(\Re)g^{\mu\sigma}\right)\delta_{\lambda}^{\nu}}\right]+2f'(\Re)g^{\mu\sigma}S_{\sigma\lambda}^{\nu}=\kappa\left(\Delta_{\lambda}^{\mu\nu}-\frac{2}{3}\Delta_{\sigma}^{\sigma[\nu}\delta_{\lambda}^{\mu]}\right)$,,Ec. 47,FieldEq
Ecuación de Campo,$S_{\mu\sigma}^{\sigma}=0$,,Ec. 48,FieldEq
Ecuación Geodésica: $D_{T\sigma}T_{\sigma}=0$,Las partículas libres siguen las geodésicas de la línea de tiempo de la conexión.,Geodesic Equation: $\frac{d^{2}x_{i}}{dt^{2}}+\Gamma_{jk}^{i}\frac{dx_{j}}{dt}\frac{dx_{k}}{dt}=0$,Ley Geodésica,MovEq
Constante Gravitational,$G_{hoy}=1=\left[constant\right]$,,G = 1,ElemDis
Signatura,Signatura del tensor métrico: toda-positiva,,No toda positiva,Tip
Signatura,"Signatura del tensor métrico: no toda positiva $<1,3>$",,"<1,3>",Tip
$\overline{D}(g)=0$,Condición que preserva ángulos y distancias cuando se transporta de forma paralela un vector a lo largo de una curva.,,D(g) = 0,Cond
Localidad,La materia es una función puntual.,,Local,Cons
No-localidad,La materia es una función de la densidad.,,No local,Cond
Acción General Métrica,"$S=\int\left[k_{1}F\left(R,\mathcal{L_{M}}\right)+k_{2}\mathcal{L_{M}}\right]\sqrt{-g}d^{4}x$",,Acción General,Action
Acción General a la Palatini,"$S=\int\left[k_{1}F\left(\Re,\mathcal{L_{M}}\right)+k_{2}\mathcal{L_{M}}\right]\sqrt{-g}d^{4}x$",,Acción General a la Palatini,Action
Constante de acoplamiento,$k_{1}=\frac{c^{3}}{16\pi G}$,,k1 = c3/16piG,ElemDis
Constante de acoplamiento,$k_{2}=\frac{1}{c}$,,k2 = 1/c,ElemDis
Ecuación de campo de la teoría extendida local con métrica pura,$F_{R}R_{\alpha\beta}+\left(g_{\alpha\beta}\nabla^{\mu}\nabla_{\mu}-\nabla_{\alpha}\nabla_{\beta}\right)F_{R}-\frac{1}{2}\left(F-F_{\mathcal{\mathcal{L}}}\right)g_{\alpha\beta}=\frac{1}{2}F_{\mathcal{L}}T_{\alpha\beta}$,,Ec. 4,FieldEq
Ecuación de campo de la teoría extendida no local a la Palatini,$f'(\chi)\chi_{\mu\nu}-\frac{1}{2}f(\chi)g_{\mu\nu}=\frac{8\pi GL_{M}^{2}}{c^{4}}T_{\mu\nu}$,,Ec. 8,FieldEq
Ecuación de campo de la teoría extendida no local con métrica pura,$\left(\frac{f_{R}}{L_{M}^{2}}\right)R_{\mu\nu}-\frac{1}{2L_{M}^{2}}fg_{\mu\nu}+\left[g_{\mu\nu}\Delta-\Delta_{\mu}\Delta_{\nu}\right]\left(\frac{f_{R}}{L_{M}^{2}}\right)=\frac{8\pi G}{c^{4}}T_{\mu\nu}-\left(\frac{f}{L_{M}^{2}}\right)_{T}\left[T_{\mu\nu}+\vartheta_{\mu\nu}\right]$,,Ec. 14,FieldEq
"Ecuación de campo de la teoría extendida local F(R,T)",(Pendiente),,Ec. 1,FieldEq
"F(R,T)",La acción es una función del escalar de Ricci y la traza del tensor de energía-momentum,,"F(R,T)",Action
"F(R*,T)",La acción es una función del escalar de Ricci afín y la traza del tensor de energía-momentum,,"F(R*,T)",Action
"F(R,Lm)",La acción es una función del escalar de Ricci y el Lagrangiano de materia.,,"F(R,Lm)",Action
"F(R*,Lm)",La acción es una función del escalar de Ricci afín y del Lagrangiano de materia.,,"F(R*,Lm)",Action
Ecuación de movimiento de la teoría extendida local con métrica pura.,$\frac{dx^{\mu}}{ds^{2}}+\Gamma_{\nu\alpha}^{\mu}\frac{dx^{\mu}}{ds}\frac{dx^{\alpha}}{ds}=\left(g_{\mu\nu}-u_{\mu}u_{\nu}\right)\nabla^{\mu}ln\left[\left(16\pi\kappa\kappa'+f_{\xi}\right)\frac{d\mathcal{L}}{d\rho}\right]$,,Ec. 34 y 35,MovEq
Ecuación de movimiento de la teoría extendida no-local a la Palatini,(Pendiente),,Ec. 2,MovEq
Ecuación de movimiento de la teoría extendida no-local con métrica pura.,"$\nabla^{\mu}T_{\mu\nu}=\left(\frac{f}{L_{M}^{2}}\right)_{T}\left\{ \frac{8\pi G}{c^{4}}-\left(\frac{f}{L_{M}^{2}}\right)_{T}\right\} ^{-1}\times\left[\left(T_{\mu\nu}+\Theta_{\mu\nu}\right)\nabla^{\mu}ln\left(\frac{f}{L_{M}^{2}}\right)_{T}\left(R,T\right)+\nabla^{\mu}\theta_{\mu\nu}\right]$",,Ec. 18 Mond,MovEq
"Ecuación de movimiento de la teoría extendida F(R,T)",(Pendiente),,Ec. 3,MovEq
Tensor de Medoza $\chi_{\mu\nu}:=L_{M}^{2}R_{\mu\nu}$,Donde L_{M}^{2} define una distancia fija por los parámetros de la teoría,,Xi3/2,GO
Constante de Milgrom: $a_{0}\approx1.2\times10^{-10}m/s^{2}$,Escala de aceleración.,,a0,ElemDis
