Attribute|Class|Title|Formula|Explanation|Reference
{B*}|Family|Intensidad del campo magnético||Cada $\left\{ B\right\} $ es una familia de campos no vacía. Cada $B\in\left\{ B\right\} $ función con valor de pseudovector real en $\Phi\times M^{3}\times T$.<br>$B(\phi,x,t)$ representa la intensidad del componente magnético de $\phi$ en $x$,$t$.|Bunge, 1967, CEM 1.7
{Beta*}|Family|Variedad de cuerpos cargados||$\left\{ \beta\right\} $ es una familia no vacía de conjuntos de puntos.<br>Cada $b\in\beta$ es una variedad diferenciable tridimensional.<br>Por cada $\sigma\in\Sigma$ existe un $b\in\beta$ tal que $b\hat{=}\sigma$ puntualmente.|Bunge, 1967, CEM 1.3
{B}|Family|Variedad que representa cuerpos||$\left\{ B\right\} $ es una familia no vacía de conjuntos de puntos.<br>Todo $b\in B$ es una variedad diferenciable tridimensional.<br>Por cada $\sigma\in\Sigma$ existe un $b\in\beta$ tal que $b\hat{=}\sigma$ puntualmente.<br>|Bunge, 1967, CM 1.2
{E*}|Family|Intensidad del campo eléctrico||$\left\{ E\right\} $ es una familia de campos no vacía.<br>Cada $E\in\left\{ E\right\} $ es una función real y vectorial de $\Phi\times M^{3}\times T$.<br>$E(\phi,x,t)$ representa la intensidad de la componente eléctrica de $\phi$ en $x$,$t$.|Bunge, 1967, CEM 1.6
{XGR}|Family|Posición||Para cada $i=1,2,3$, $\left\{ X_{i}\right\} $ es una familia no vacía de funciones.<br>Cada $X_{i}\in\left\{ X_{i}\right\} $ es una función de $\overline{\Sigma}\times K\times T$ a $\mathbb{R}$, continua con respecto a $t$.<br>$X(\bar{\sigma},k,t)$ representa la posición de un sistema de puntos $\bar{\sigma}\in\bar{\Sigma}$, que refieren a $k$, en el instante $t$ relativo a $k$.|Bunge, 1967, GR 4.2
{XR}|Family|Posición de un sistema sigma€Sigma||$\left\{ X\right\} $ es una familia de funciones no vacía.<br>Cada $X\in\left\{ X\right\} $ es una función de $\Sigma\times I\times T$ a $R^{3}$. <br>$X\left(\sigma,i,t\right)$ representa la posición de un sistema de puntos $\sigma\subset\Sigma$, que refiere al marco $\tau$, en el instante $t$ relativo a $\tau$.<br>Para cada evento puntual existe una séptupla $\left\langle \sigma,s,\tau,X_{0},X_{1},X_{2},X_{3}\right\rangle \hat{=}$ evento.|Bunge, 1967, SR 6
{X}|Family|Familia de funciones vectoriales que representan la posición de una partícula||$X$ es continuo y está acotado para cada $\beta$, $k$ y $t$.<br>$X(\beta,k,t)$ representa el lugar (localización) de la partícula $\pi$ del cuerpo $\sigma$, relativa al marco $k$ en el instante $t$.|Bunge, 1967, CM 1.3
CEM 3, 4.3|FieldEq|Densidad de fuerza||La densidad de fuerza ejercida por un campo externo $\left\langle E,B\right\rangle \hat{=}$ $\phi\in\Phi$ en $\sigma\in \Sigma$ es<br>$f=\rho\left(E+\frac{v}{c}\times B\right)$.|Bunge, 1967, CEM 3, 4.3
Ec. de Einstein|FieldEq|Ecuación de Einstein|$G_{1}^{*}G_{2}^{*}Ric-\frac{1}{2}Rg^{*}=-8\pi kT$|Por cada $x\in V$, cada $\sigma\in\Sigma$, cada $\bar{\sigma}\in\bar{\Sigma}$ <br>y cada $\mathrm{\mathrm{T}\in\{T\}}$, existe un $g\in\{g\}$ tal que $G=\kappa\mathrm{T}$.|Bunge, 1967, GR 6.2
Ec. de Maxwell|FieldEq|Ecuaciones de Maxwell||En cualquier punto $x\in M^{3}$ y cualquier instante $t\in T$ para cada campo<br>$\phi\in \Phi$ y cada cuerpo cargado<br>$\sigma\in \Sigma$, existe un<br>$k\in K$ tal que<br>$\nabla\times E=-\frac{1}{c}\frac{\partial B}{\partial t}$, $\nabla\cdot B=0$ y <br>$\nabla\times B=-\frac{1}{c}\frac{\partial E}{\partial t}+\frac{4\pi}{c}j$, $\nabla\cdot E=4 \pi\rho$.|Bunge, 1967, CEM 2
K|Frames|Conjunto de marcos de referencia físicos||$K$ es un conjunto numerable no vacío.<br>Cada $k$ es un sistema rígido de corpúsculos de los cuáles por lo menos cuatro descansan en los vértices de un trihedro regular.<br>Para cada $k$ existe un sistema cartesiano de ejes $e=\left\langle e_{1},e_{2}.e_{3}\right\rangle $ tal que $e\hat{=}k$<br>Ninguna $k$ interactúa con ninguna $\sigma\subset\Sigma$ que no sea parte de $k$.<br>La configuración de cada$k\in K$ es independiente del tiempo.<br>|Bunge, 1967, PM 2.3, CM 2.1, GR 4.1
Marco Inercial|Frames|Marcos de referencia inerciales||$I\neq\emptyset\land I\subset\Sigma-S$.<br>Cada $i\in I$ es un marco de referencia inercial.<br>Para cada $i\in I$ hay una base $e=\left\langle e_{1},e_{2}.e_{3}\right\rangle $ tal que $e\hat{=}i$.|Bunge, 1967, SR 3
Tensor Métrico|GO|Tensor métrico||$\left\{ g\right\} $ es una familia no vacía de campos tensoriales simétricos, de valencia (0,2), en $M^{4}$<br>Los componentes de $g$ y sus derivados primero y segundo w.r.t. los $x^{\mu}$ tienen valores reales y están acotados en cada $V\subset M^{4}$ con la posible excepción de un subconjunto propio de $V$.<br> $M^{4}$ está dotado de una métrica $ds^{2}=g_{\mu\nu}dx^{\mu}dx^{\nu}$ con $\mu,\nu=0,1 ,2,3$.|Bunge, 1967, GR 3.1
Balance del Momentum|MovEq|Ley del balance del momentum||Por cada $\sigma\in\Sigma$, $t\in T$, cada $\rho\in\left\{ \rho\right\} $, cada $f_{b}\in\left\{ f_{ b}\right\} $ y cada $\mathrm{T\in\left\{ \mathrm{T}\right\} }$, existe un $k\in K$ tal que $\dot{p}= F $.|Bunge, 1967, CM 3.3
F=ma|MovEq|Leyes de Newton||Por cada $\sigma$, $\sigma'\in\Sigma$, cada $t\in T$, cada $F^{e}\in\left\{ F^{e}\right\}$ y cada $F ^{i}\in\left\{ F^{i}\right\}$, hay al menos un $k\in K$ tal que<br>$\dot{p}(\sigma,t,k)=F^{e}(\sigma,t,k)+\underset{\sigma'\neq\sigma}{\sum}F^{i}( \sigma,\sigma',t,k)$<br>y<br>$F^{i}(\sigma,\sigma’,t,k)=-F^{i}(\sigma',\sigma,t,k)$.|Bunge, 1967, PM 3.5
Momento del Momentum|MovEq|Ley del momento del momentum||Por cada $\sigma\in\Sigma$, cada $t\in T$, cada $\rho\in\left\{ \ho\right\} $, cada $f_{b}\in\left\{ f_{b}\right\} $, y cada $\mathrm{T\in\left\{ \mathrm{T}\right\} }$, existe una $k\in K$ tal que $\dot{L}=N$.|Bunge, 1967, CM 3.4
Campos Gravitacionales|Referents|Campos gravitatorios||$\Sigma$ es un conjunto no vacío.<br>Cada $\Sigma$ representa un campo gravitacional.|Bunge, 1967, GR 1.1
Campos no Gravitacionales|Referents|Entidades físicas distintas de los campos gravitatorios||$\overline{\Sigma}$ es un conjunto no vacío disjunto de sigma.<br>Cada $\overline{\Sigma}$ representa un sistema físico distinto al campo gravitacional.|Bunge, 1967, GR 1.2
Cuerpos|Referents|Cuerpos||$\Sigma$ es un conjunto numenable no- vacío.<br>Cada $\Sigma$ es un cuerpo.|Bunge, 1967, CM 1.1
Cuerpos Cargados|Referents|Cuerpos cargados||$\Sigma$ es un conjunto no vacío.<br>Cada $\Sigma$ es un cuerpo cargado.|Bunge, 1967, CEM 1.2
Partículas|Referents|Partículas puntuales||$\Sigma$ es un conjunto numerable no vacío.<br>Cada $\Sigma$ is una partícula.|Bunge, 1967, PM 2.1
Señales Electromagnéticas|Referents|Señales electromagnéticas||$S\neq\emptyset l$ and $S\subset\Sigma$.<br>Cada $s\in S$ representa una señal electromagnética.|Bunge, 1967, SR 2
Sistemas físicos|Referents|Sistema físico (material o no)||$\Sigma\neq\textrm{Ø}$.<br>Cada $\sigma\subset\Sigma$ representa un sistema físico.|Bunge, 1967, SR 1
Mapeo X:b¬C|Transformation|Transformación|$X:b¬C$|Por cada $X\in\left\{ X\right\}$, cada $b\in\beta$ y cada $t\in T$, el mapa $X:b\rightarrow C$ es 1:1, sobre y continuo.<br>Por cada $X\in\left\{ X\right\}$, cada $b\in\beta$ y cada $t\in T$ la imagen $C=X(b,t)$ de $b$ bajo $X$ es un conjunto compacto con un límite continuo por partes $\partial X(b,t)$.<br>Por cada $\sigma\in\Sigma$ y $t\in T$ existe un $X\in\left\{ X\right\} $ tal que la imagen $X(b,t)$ de $b$ bajo $X$ representa el lugar que ocupa el cuerpo $\sigma$ representado por $b$.|Bunge, 1967, CM 1.4
Transformaciones de Coordenadas|Transformation|Transformación de coordenadas||Todas las transformaciones de coordenadas en $M^{4}$ son mapas biyectivos.<br>El jacobiano de cada transformación de coordenadas no desaparece en ninguna parte.<br>Las áreas y los volúmenes no deberían desvanecerse con las transformaciones de coordenadas, porque de lo contrario las cosas mismas parecerían desvanecerse por las operaciones de papel y lápiz.<br>(Bunge, 1967, GR 2.2).|Bunge, 1987, GR 2.2
1/r|Typ|Postulado desde una observación empírica||$E$ y $B$ caen con una distancia al menos tan rápida como $\frac{1}{r}$. |Bunge, 1967, CEM 1.8
<1,3>|Typ|Signatura|$<1,3>$|$g_{00}>0$ y $g_{ij}<0$ $(i,j, =1,2,3)$ en todas partes.<br>$g_{ij}-(g_{0i}g_{0j}/g_{00})<0$ en todas partes.<br>Para asegurar que $x^{0}$, o más bien $(g_{00})^{\frac{1}{2}}x^{0}/c$,<br>sea una coordenada de tiempo y los otros serán coordenadas espaciales según lo requerido por GR 2.3.|Bunge, 1967, GR 3.2
Aditividad de la Masa|Typ|Aditividad de la masa||Para cada $\sigma\in\Sigma$, si $b\hat{=}\sigma$ y $C$ es la imagen de $b$ debajo de $X$, entonces $M$ es una función continua del volumen ( Medida de Lebesgue) $\mu(b,t)$ de $b$ en $t$.<br>b) Para cualesquiera dos $\sigma,\sigma'\in\Sigma$ distintos, si $b\hat{=}\sigma$ y $b'\hat{=}\sigma'$, y $b\cup b '\hat{=}\sigma+\sigma'$, entonces $M(b\cup b')=M(b)+M(b')$.<br>c) Si $b\hat{=}c$, entonces $M(b)$ representa la masa de $\sigma$.|Bunge, 1967, CM 1.6
CM 2.2|Typ|Clase de equivalencia de representaciones||Sea $X'=a+QX$, con funciones de tiempo $a$ y $Q$, que representan un cambio de marco. Si $V$ es un vector que se refiere a $\pi\dot{\in}\sigma\in\Sigma$, que al cambiar de marco se convierte en $V'=QV$, entonces $V'$ y $V$ se refieren a la misma situación física.<br>Si $S$ es un tensor de segundo rango que se refiere a $\pi\dot{\in}\sigma\in\Sigma$, que al cambiar de marco se convierte en $S'=QS\tilde{Q}$, donde $\tilde{Q}$ es la trasposición de $Q$, entonces $S'$ y $S$ se refieren a la misma situación física.|Bunge, 1967, CM 2.2
Conservación de Masa|Typ|Conservación de masa||Para cada $\sigma\in\Sigma$, si $b\hat{=}\sigma$ y $C=X(b,t)$ y $C’ =X’(b)$ son dos configuraciones diferentes de $\sigma$ en un momento dado $t$, entonces las masas correspondientes son la misma: $M(\sigma)=\underset{X(b)}{\int}d^{3}x\rho_{X}=\underset{X’(b)}{\int}d^{3}x\rho_{X’}$.|Bunge, 1967, CM 1.7
Degeneración Tensorial|Typ|Degeneración tensorial||Cuando el tensor constitutivo degenera en $(\epsilon,\mu^{-1})$, las ecuaciones de campo se convierten en $\nabla\times E=-\frac{1}{c}\frac{\partial B}{\partial t}$, $\nabla\cdot B=0$,<br>$\nabla\times H=-\frac{1}{c}\frac{\partial D}{\partial t}+\frac{4\pi}{c}j$, $\nabla\cdot D=4 \pi\rho$.|Bunge, 1967, p. 
Forma Asintótica|Typ|Forma asintótica||Los componentes de $g$ se aproximan a valores constantes a medida que $x^{i}(i=1,2,3)$ tienden a infinito.<br>El tensor métrico, que resuelve las ecuaciones de campo, debe representar un sistema aislado. Fuera de cada $V\subset M^{4}$, las formas asintóticas de las componentes de $g$ son las de las ondas esféricas salientes.|Bunge, 1967, GR 3.3
GR 5.2|Typ|Tipificación de los componentes de T||Los componentes de $\mathrm{T}$ son funciones de valor real de $\bar{\sigma}$, $k$, $X$ y $t$.<br>Los componentes de $\mathrm{T}$ desaparecen fuera de $V$.|Bunge, 1967, GR 5.2
GR 6.3|Typ|Postulado||Dos soluciones de la ecuación de Einstein que pueden transformarse entre sí mediante una transformación de coordenadas admisible se refieren al mismo campo.|Bunge, 1967, GR 6.3
PM 2.5|Typ|Postulado 2.5: Los valores de posición y velocidad identifican de forma única una partícula.||Para cualquiera dos $\sigma$,$\sigma'\in\Sigma$ y cada $k\in K$ y cada $t’\in T$, si $X\left(\sigma,t,k\right)=X\left(\sigma',t,k\right)$ y $\dot{X}\left(\sigma,t,k\right)=\dot{X}\left(\sigma',t,k\right)$, entonces $\sigma=\sigma’$.<br>En palabras: los valores de la posición y la velocidad identifican de manera única (caracterizan) a las partículas. Las coordenadas por sí solas son insuficientes para esto: por lo tanto, dos partículas diferentes pueden estar en el mismo lugar en el instante de la colisión, pero luego tendrán velocidades (vectoriales) diferentes.|Bunge, 1967, PM 2.5
PM 3.2|Typ|La masa de un sistema de partículas puntuales es igual a la suma de las masas parciales.||Si $\sigma_{i}\in\Sigma$ para cada $i\in N$ finito, entonces $M\left(\underset{i}{\dot{\sum}}\sigma_{i}\right) =\underset{i}{\sum}M(\sigma_{i})$.|Bunge, 1967, PM 3.2
Postulado|Typ|Postulado: Una vez que una partícula siempre una partícula||Para dos $t$ diferentes, $t'\in T$, o $\sigma\in\Sigma$ en $t$, tenemos $\sigma\subset\Sigma$ en $t'$.<br>Se necesita este postulado para garantizar las predicciones y retrodicciones calculadas para una $Sigma$ en leyes de movimiento y cualquier condición inicial referirá a $Sigma$.|Bunge, 1967, PM 2.2
